,subject,set,understood task,response,button_bias_Z,decoy_NN_count,decoy_NN_count_correct,decoy_binom,rt set,rt shifted,rt swapped,rt neither,key_r,I7_count,I5_count,I1_count,I11_count,rt shifted-swapped,rt shifted:swapped,# shifted,# swapped,# neither,# 1st button,# 2nd button,# neither button,# 1st button (task),# 2nd button (task),# neither button (task),# button presses (task),# trials,# button presses,# no_neither_trials,rate shifted,rate swapped,rate neither,rate pressed 1st,rate pressed 2nd,rate pressed neither,rate pressed 1st (task),rate pressed 2nd (task),rate pressed neither (task),rate_NN_shifted,rate_NN_swapped,rate shifted - rate swapped,rate shifted - rate swapped (NN),Unnamed: 0,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
10,SSS0013,0 2 4 7 9,False,BBBBABAAABABA,0.31399291281137953,13,11,0.01123046875,948.5249999852385,792.359999992419,2254.9724999843165,1421.5200000032783,0.8022598065321312,1.25,2.8125,0.0,0.0,-1462.6124999918975,0.35138344259095394,11.0,2.0,3.0,6.0,7.0,3.0,6.0,7.0,3.0,16.0,16.0,16.0,13.0,0.6875,0.125,0.1875,0.375,0.4375,0.1875,0.375,0.4375,0.1875,0.8461538461538461,0.15384615384615385,0.5625,0.6923076923076923,13,21,No,,,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,0.0,0,No,,Neither Agree nor Disagree,Strongly Agree,,2020-09-18 16:28:09,39092
11,SSS0014,0 2 4 7 9,True,AABBBBABBAB,-0.06299407883487115,11,7,0.2744140625,833.9550000091549,475.1950000063516,1012.3175000189804,1989.1350000398234,0.7861694520232476,1.4285714285714286,2.642857142857143,0.0,0.0,-537.1225000126287,0.46941300530460256,7.0,4.0,3.0,4.0,7.0,3.0,4.0,7.0,3.0,14.0,14.0,14.0,11.0,0.5,0.2857142857142857,0.21428571428571427,0.2857142857142857,0.5,0.21428571428571427,0.2857142857142857,0.5,0.21428571428571427,0.6363636363636364,0.36363636363636365,0.2142857142857143,0.2727272727272727,14,19,No,in-ear earbuds,10,English,Pitch changes,,Unknown,SONA for course credit,,Yes,Female,,5.0,4-5,"Yes, I do alright",Piano,Agree,Strongly Agree,I don't have any,2020-09-18 16:58:30,39632
12,SSS0015,0 2 4 7 9,True,BABBBABBBBBBBBB,0.6824195671992894,15,10,0.15087890624999997,951.0050000026822,777.4124999993946,951.0050000026822,1713.352499999106,0.8117239731468052,1.8823529411764706,2.2941176470588234,0.0,0.0,-173.59250000328757,0.8174641563369299,10.0,5.0,2.0,2.0,13.0,2.0,2.0,13.0,2.0,17.0,17.0,17.0,15.0,0.5882352941176471,0.29411764705882354,0.11764705882352941,0.11764705882352941,0.7647058823529411,0.11764705882352941,0.11764705882352941,0.7647058823529411,0.11764705882352941,0.6666666666666666,0.3333333333333333,0.29411764705882354,0.3333333333333333,15,19,No,I used Beats Wireless headphones,7-17,English,"I thought I noticed extra notes being played in between the original test melody, to make it more complex",,Unknown,SONA for course credit,,Yes,Female,,7.0,9+,"Yes, but not so well",violin,Agree,Neither Agree nor Disagree,Tried to memorize the first and last note of the test melody and keep that in my head as the options played,2020-10-02 20:46:51,40140
13,SSS0016,0 2 4 7 9,True,AABAAAABAABBBBBAA,-1.1583158907100046,17,8,0.6854705810546875,940.4300000169314,786.2799999997951,991.8049999978393,3341.1649999897927,0.7846623016240479,1.6111111111111112,2.9444444444444446,0.0,0.0,-205.52499999804422,0.7927768059260722,8.0,9.0,1.0,10.0,7.0,1.0,10.0,7.0,1.0,18.0,18.0,18.0,17.0,0.4444444444444444,0.5,0.05555555555555555,0.5555555555555556,0.3888888888888889,0.05555555555555555,0.5555555555555556,0.3888888888888889,0.05555555555555555,0.47058823529411764,0.5294117647058824,-0.05555555555555558,-0.05882352941176472,16,20,No,speakers,,Spanish,tones,,Unknown,SONA for course credit,,No,Female,,4.0,0,No,,Strongly Agree,Disagree,"Rhythm, tones",2020-09-29 17:51:27,39927
14,SSS0017,0 2 4 7 9,True,ABBBAAABAAA,-0.7559289460184544,11,6,0.5,1992.1900000190362,7048.49000001559,1776.0700000217184,2199.795000080485,0.7791474959395522,1.6470588235294117,2.8823529411764706,0.0,0.0,5272.419999993872,3.9685879497595247,6.0,5.0,6.0,7.0,4.0,6.0,7.0,4.0,6.0,17.0,17.0,17.0,11.0,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.35294117647058826,0.4117647058823529,0.23529411764705882,0.35294117647058826,0.5454545454545454,0.45454545454545453,0.05882352941176472,0.09090909090909088,17,20,No,over the ear headphones,12,English,,,,SONA for course credit,,No,Female,,7.0,0,"Yes, I do alright",guitar,Strongly Agree,Strongly Disagree,none,2020-09-25 18:41:06,39755
15,SSS0018,0 2 4 7 9,True,ABAAABAABB,0.14048787173725422,10,5,0.623046875,1230.1899999729358,1641.8999999877997,1627.794999978505,1028.8900000159629,0.8130409153663426,1.8,2.3333333333333335,0.0,0.0,14.1050000092946,1.0086650960406445,5.0,5.0,5.0,6.0,4.0,5.0,6.0,4.0,5.0,15.0,15.0,15.0,10.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4,0.26666666666666666,0.3333333333333333,0.4,0.26666666666666666,0.3333333333333333,0.5,0.5,0.0,0.0,18,19,No,AirPod Pro ,,English,,,,SONA for course credit,,No,Male,,0.0,0,No,,Strongly Agree,Agree,"I started with the first and last sounds, then tried to incorporate some middle sounds in sequence.",2020-09-18 22:17:41,39460
16,SSS0019,0 2 4 7 9,True,ABBBBBBAAAAA,-2.422120283277993,12,12,0.000244140625,656.8574999691918,580.0600000075065,0.0,1378.919999988284,0.7888489436804933,1.8125,2.875,0.0,0.0,0.0,0.0,12.0,0.0,4.0,6.0,6.0,4.0,6.0,6.0,4.0,16.0,16.0,16.0,12.0,0.75,0.0,0.25,0.375,0.375,0.25,0.375,0.375,0.25,1.0,0.0,0.75,1.0,19,20,No,"headphone, in-ear, Apple airpods (the first model)",8-18,Spanish,I focused on rhythm pattern and note changes,,Unknown,SONA for course credit,,Yes,Female,,6.0,9+,"Yes, I do alright",violin,Strongly Agree,Agree,note changes and sometimes rhythm,2020-09-18 22:39:34,38347
17,SSS0020,0 2 4 7 9,True,ABAABBBAABB,-0.2916059217599019,11,10,0.005859375,4619.302499981597,3594.512499985285,3626.599999960512,12676.470000005327,0.788984607113382,1.3333333333333333,3.1666666666666665,0.0,0.0,-32.08749997522682,0.991152181113005,10.0,1.0,1.0,5.0,6.0,1.0,5.0,6.0,1.0,12.0,12.0,12.0,11.0,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.5,0.08333333333333333,0.4166666666666667,0.5,0.08333333333333333,0.9090909090909091,0.09090909090909091,0.75,0.8181818181818181,20,23,No,Apple AirPods ,5-16,Other (please specify below):,"any notes that seemed ""off"" or new",,Unknown,SONA for course credit,Bengali,No,Male,,7.0,0,"Yes, but not so well",Guitar,Agree,Strongly Agree,none,2020-10-12 20:39:13,40152
18,SSS0021,0 2 4 7 9,True,ABBBBABBBABBAA,-0.26157418189029863,14,10,0.08978271484375,1553.3724999399856,1296.237500035204,1450.277499913238,4172.927500039339,0.7788308564879183,2.3333333333333335,2.7222222222222223,0.0,0.0,-154.039999878034,0.8937858445109648,10.0,4.0,4.0,5.0,9.0,4.0,5.0,9.0,4.0,18.0,18.0,18.0,14.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.2777777777777778,0.5,0.2222222222222222,0.2777777777777778,0.5,0.2222222222222222,0.7142857142857143,0.2857142857142857,0.33333333333333337,0.4285714285714286,21,19,No,"yes, earphones",5-16,English,Changes from major key to minor,,Unknown,SONA for course credit,,Yes,Female,,7.0,6-8,"Yes, I do alright","Piano, Violin",Agree,Disagree,key changes,2020-09-23 20:52:32,39754
19,SSS0022,0 2 4 7 9,True,BBABAABBBA,0.14048787173725422,10,9,0.0107421875,1157.6499999938533,1387.5799999949522,1059.2350000003353,1157.6499999938533,0.7529190883678474,2.4,2.2666666666666666,0.0,0.0,328.34499999461696,1.3099831482102773,9.0,1.0,5.0,4.0,6.0,5.0,4.0,6.0,5.0,15.0,15.0,15.0,10.0,0.6,0.06666666666666667,0.3333333333333333,0.26666666666666666,0.4,0.3333333333333333,0.26666666666666666,0.4,0.3333333333333333,0.9,0.1,0.5333333333333333,0.8,22,19,No,in-ear headphones,10-12,English,"the beginning and ending notes and I try to memorize it in twos, like a-b, a-b, a-b, and that helps me to remember the notes better than hearing it as a whole",,Unknown,SONA for course credit,,Yes,Female,,2.0,2-3,"Yes, I do alright",electric piano and ukulele,Strongly Agree,Agree,the difference with the ranges of each note,2020-09-19 00:24:58,40130
20,SSS0023,0 2 4 7 9,True,ABBBAABAABBAABBBAA,-0.48591265790377497,18,9,0.5927352905273438,1330.5499999839813,945.0850000139326,1349.2449999898672,0.0,0.7501690389810528,1.1666666666666667,3.0,0.0,0.0,-404.1599999759346,0.7004546987545109,9.0,9.0,0.0,9.0,9.0,0.0,9.0,9.0,0.0,18.0,18.0,18.0,18.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.5,0.5,0.0,0.0,23,18,No,in ear,12,English,,,,SONA for course credit,Korean,No,Female,"I became too angry to focus. I have never been angry at a study before, but this was so frustrating I started shaking after the first ten.",2.0,0,No,,Strongly Agree,Neither Agree nor Disagree,"I tried recognizing peaks and down at first, but as time went on I became too angry to do that.",2020-10-20 17:14:11,40024
21,SSS0024,0 2 4 7 9,True,BABBABABB,1.6329931618554523,9,6,0.25390625,1325.5900000003166,1122.6774999997579,2764.8950000000186,1702.8575000003912,0.8181942615690201,1.5294117647058822,2.3529411764705883,0.0,0.0,-1642.2175000002608,0.4060470650783304,6.0,3.0,8.0,3.0,6.0,8.0,3.0,6.0,8.0,17.0,17.0,17.0,9.0,0.35294117647058826,0.17647058823529413,0.47058823529411764,0.17647058823529413,0.35294117647058826,0.47058823529411764,0.17647058823529413,0.35294117647058826,0.47058823529411764,0.6666666666666666,0.3333333333333333,0.17647058823529413,0.3333333333333333,24,21,No,"Headphones, Turtle Beach Ear Force Recon 50",,Other (please specify below):,how high or low particular tones were and if those tones appeared in the comparison melodies.,,Unknown,SONA for course credit,Bengali,Yes,Female,,0.0,0,No,,Strongly Agree,Strongly Agree,Closing my eyes and listening closely,2020-09-16 16:32:42,38652
22,SSS0025,0 2 4 7 9,True,BBABABBAB,1.6329931618554523,9,5,0.5,2557.9600000055507,2363.6449999758042,3114.0549999836367,3173.3374999894295,0.7637409137308258,1.5384615384615385,2.6923076923076925,0.0,0.0,-750.4100000078324,0.7590248084854714,5.0,4.0,4.0,3.0,6.0,4.0,3.0,6.0,4.0,13.0,13.0,13.0,9.0,0.38461538461538464,0.3076923076923077,0.3076923076923077,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.23076923076923078,0.46153846153846156,0.3076923076923077,0.5555555555555556,0.4444444444444444,0.07692307692307693,0.11111111111111116,25,18,No,apple airpods ,13-18,English,,,,SONA for course credit,,No,Female,,6.0,4-5,No,piano,Strongly Agree,Agree,none,2020-10-06 23:33:33,39928
23,SSS0026,0 2 4 7 9,True,BBAABBBBAAA,-1.5746719775034714,11,9,0.03271484375,671.2799999949057,340.6350000007078,851.6250000102445,1080.0099999764934,0.817074508731024,1.4285714285714286,2.357142857142857,0.0,0.0,-510.99000000953674,0.3999823866098461,9.0,2.0,3.0,5.0,6.0,3.0,5.0,6.0,3.0,14.0,14.0,14.0,11.0,0.6428571428571429,0.14285714285714285,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.8181818181818182,0.18181818181818182,0.5,0.6363636363636365,26,21,No,in-ear earbuds,12,English,I paid attention to the beginning middle and end of the melody and focused on if it started a specific pitch level and how it fluctuated as the melody played,,Unknown,SONA for course credit,,Yes,Male,,5.0,1,No,,Strongly Agree,Disagree,Pitches and Tones,2020-09-17 14:12:58,39502
24,SSS0027,0 2 4 7 9,True,BBBABAAAAB,-0.6708203932499369,10,8,0.0546875,2149.749999982305,1289.9099999922328,2121.3274999754503,5379.580000066198,0.8042197450315639,1.6,3.6,0.0,0.0,-831.4174999832176,0.608067354054082,8.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,15.0,15.0,15.0,10.0,0.5333333333333333,0.13333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8,0.2,0.4,0.6000000000000001,27,21,No,"in-ear, apple wired headphones",8-12,English,I think sometime a note was one step or half a step higher or lower than it should have been.,,Unknown,SONA for course credit,,Yes,Female,went back and forth between interval changes and focusing on feeling,4.0,4-5,"Yes, but not so well",piano,Agree,Strongly Agree,I was trying to listen to the whole of the test melodies and remember them for comparison.,2020-10-01 10:51:53,37558
25,SSS0028,0 2 4 7 9,True,BABA,1.224744871391589,4,4,0.0625,1079.3849998153746,2158.3675000583753,0.0,1054.3899999465793,0.8190864508768845,1.6,1.9333333333333333,0.0,0.0,0.0,0.0,4.0,0.0,11.0,2.0,2.0,11.0,2.0,2.0,11.0,15.0,15.0,15.0,4.0,0.26666666666666666,0.0,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.7333333333333333,0.13333333333333333,0.13333333333333333,0.7333333333333333,1.0,0.0,0.26666666666666666,1.0,28,22,No,"in ear, apple airpods ",15,English,,,,SONA for course credit,,No,Female,,5.0,1,"Yes, but not so well",piano ,Strongly Agree,Agree,none,2020-09-16 17:54:18,38145
26,SSS0029,0 2 4 7 9,True,BBABAABBBBBA,-0.22996655275194974,12,5,0.80615234375,1049.5499999960884,2572.9750000173226,808.4450000314973,699.3200000142679,0.7887474009845563,2.0588235294117645,2.176470588235294,0.0,0.0,1764.5299999858253,3.1826221943571653,5.0,7.0,5.0,4.0,8.0,5.0,4.0,8.0,5.0,17.0,17.0,17.0,12.0,0.29411764705882354,0.4117647058823529,0.29411764705882354,0.23529411764705882,0.47058823529411764,0.29411764705882354,0.23529411764705882,0.47058823529411764,0.29411764705882354,0.4166666666666667,0.5833333333333334,-0.11764705882352938,-0.16666666666666669,29,18,No,airpods first gen,,Other (please specify below):,rhythm and tone,,Unknown,SONA for course credit,Russian,Yes,Female,,2.0,0,No,,Agree,Neither Agree nor Disagree,Comparison,2020-10-02 18:54:05,40209
27,SSS0030,0 2 4 7 9,True,ABBAAAABABAAB,0.520476245748122,13,9,0.1334228515625,2447.6850000210106,1154.2500000214204,2455.5050000199117,11147.490000003017,0.7567489654861214,1.6875,3.3125,0.0,0.0,-1301.2549999984913,0.4700662389252152,9.0,4.0,3.0,8.0,5.0,3.0,8.0,5.0,3.0,16.0,16.0,16.0,13.0,0.5625,0.25,0.1875,0.5,0.3125,0.1875,0.5,0.3125,0.1875,0.6923076923076923,0.3076923076923077,0.3125,0.3846153846153846,30,19,No,in-ear,8-12,English,"I think sometimes, the some notes were played differently from the original melody.",,Unknown,SONA for course credit,,Yes,Female,"After the second block keeping my eyes closed and turning off the lights did help. In the last block, I tapped keys to help me remember the first melody. I think between the 3rd and 4th I made up some simple dance moves in my head to help me remember what each melody sounded like.",6.0,4-5,"Yes, I do alright",piano,Strongly Agree,Agree,I imagined the melodies as doodles or sketched them out in my head the way a heart monitor would display a person's heart rate. Closing my eyes and  tapping on a key gently helped discern the melodies too.,2020-09-28 20:57:35,39543
28,SSS0031,0 2 4 7 9,True,BAABBABBABBABA,1.2191310379958664,14,7,0.604736328125,2370.489999972284,2126.0350000225008,3219.429999996908,0.0,0.7678465297452343,1.7857142857142858,2.7857142857142856,0.0,0.0,-1093.3949999744073,0.6603762156731293,7.0,7.0,0.0,6.0,8.0,0.0,6.0,8.0,0.0,14.0,14.0,14.0,14.0,0.5,0.5,0.0,0.42857142857142855,0.5714285714285714,0.0,0.42857142857142855,0.5714285714285714,0.0,0.5,0.5,0.0,0.0,31,20,No,headphone,4-12,Other (please specify below):,the music basically all sound different,,,SONA for course credit,chinese,Yes,Female,,3.0,6-8,"Yes, I do alright",piano,Strongly Agree,Neither Agree nor Disagree,listen,2020-10-07 05:01:43,39012
29,SSS0032,0 2 4 7 9,True,BAAAABAABAAAA,0.32616403652672143,13,8,0.29052734375,6547.385000001639,6062.797500000801,14369.334999999031,4222.267499999143,0.7718156482284715,1.6666666666666667,2.533333333333333,0.0,0.0,-8306.53749999823,0.4219261016603211,8.0,5.0,2.0,10.0,3.0,2.0,10.0,3.0,2.0,15.0,15.0,15.0,13.0,0.5333333333333333,0.3333333333333333,0.13333333333333333,0.6666666666666666,0.2,0.13333333333333333,0.6666666666666666,0.2,0.13333333333333333,0.6153846153846154,0.38461538461538464,0.2,0.23076923076923078,32,,No,in-eaer,,English,,,,SONA for payment,,No,Male,,4.0,0,"Yes, but not so well",piano,Strongly Agree,Strongly Agree,,2020-09-23 17:46:49,39535
