,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
13,S1C0816,19,Yes,Apple earbuds that came with my iPhone 6S in 2016,7-18,English,I noticed the two main variations were changing the order of some notes or using a flat or sharp of a note from the test music,SONA for course credit,,Yes,Female,"Around Block 3, I started choosing the options that had a greater number of variations even though the general sound of the other option was very different due to a flat or sharp. In Block 5, I changed back to selecting the options that had more sharps/flats.",7,9+,"Yes, I do alright",Guitar and piano,Strongly Agree,Disagree,I looked for as few variations as possible,2021-09-15 19:27:42,41639
14,S1C0817,19,Yes,"Apple Airpod Pro, in-ear, with noise cancellation",10-14,English,"I would try to find parts of the melody that was ""identifiable""",SONA for course credit,,Yes,Female,"It differed, I tried to listen for certain points that would help me identify the melody or I would listen for odd notes out",4,4,No,,Strongly Agree,Agree,Different notes and ups and down of them,2021-09-15 18:21:41,41613
15,S1C0819,20,No,Apple earphones (in-ear) ,11-13,Other (please specify below):,,SONA for course credit,Arabic,Yes,Female,,4,2,"Yes, but not so well","Piano, guitar",Agree,Agree,,2021-09-15 19:30:23,41819
16,S1C0820,18,No,in-ear,16,Chinese (Mandarin),,SONA for course credit,,No,Female,,1,1,"Yes, but not so well",violin,Agree,Neither Agree nor Disagree,,2021-09-18 18:07:43,41508
17,S1C0822,21,No,headphones,,English,,SONA for course credit,,No,Female,,2,0,No,,Strongly Disagree,Strongly Disagree,,2021-09-16 19:11:28,41449
18,S1C0823,19,No,over-the-ear headphones,9-12,English,I listened for the lowest and highest notes,SONA for course credit,,Yes,Female,,2,3,"Yes, but not so well",guitar,Strongly Agree,Agree,listening for the most distinct notes and their placement in the sequence,2021-09-16 21:14:46,39889
19,S1C0824,18,Yes,"in ear, air pods",,English,"sometimes added or removed note, sometimes L went deeper sometimes A switch ed two notes",SONA for course credit,,Yes,Female,The strategy sort of evolved block by block,5,0,"Yes, but not so well",ukulele,Strongly Agree,Neither Agree nor Disagree,counted for missing or added beats,2021-09-16 21:45:36,41654
20,S1C0825,18,No,I listened to the task with Apple Airpods (2nd Gen),8-15,English,"As mentioned above, I paid most attention to the specific notes of each melody",SONA for course credit,,Yes,Female,,8,8,"Yes, I do alright","Piano, ukulele",Agree,Disagree,I tried to identify the number of different notes in each melody compared to the test melody or the size of the interval between a different note and its respective note in the test melody,2021-09-17 12:41:56,41488
21,S1C0826,21,No,"in-ear, airpod","7-10, 15-17",Chinese (Mandarin),Listen to the notes that is off-key,SONA for course credit,,Yes,Female,,5,5,"Yes, I do alright",drum,Strongly Agree,Agree,,2021-09-17 13:24:28,38027
22,S1C0827,18,No,headphones. in ear. Apple airpods,,English,,SONA for course credit,,No,Male,,0,0,No,,Agree,Disagree,I used the different pitches to determine whether or not they sounded the same.,2021-09-17 16:02:56,41706
23,S1C0828,18,No,"in-ear earbuds, Happy Plugs Earbuds Plus with Mic",5-17 years old,Other (please specify below):,"I mostly chose the melodies that had a different pitch, length, or a noticeable different note.",SONA for course credit,Chinese (Hakka),Yes,Female,,8,9+,"Yes, I do alright",piano and alto saxophone,Strongly Agree,Agree,"I tried to remember the general length and rhythm of each melody, whether the pitch was higher or lower, and if there were any noticeable out of place notes.",2021-09-17 14:25:28,41658
24,S1C0829,20,No,in ear ,,English,,SONA for course credit,,No,Female,,3,0,No,,Agree,Strongly Agree,I tried to listen to the first one really closely,2021-09-17 15:18:02,38164
25,S1C0830,19,No,in-ear,4-10,Chinese (Mandarin),,SONA for course credit,,No,Female,,0,3,"Yes, I do alright",Guzheng,Agree,Strongly Agree,out of tune,2021-09-17 17:35:25,41450
26,S1C0831,20,No,"headphones, over the ear, sony",,English,,SONA for course credit,,No,Female,,5,0,"Yes, I do alright",Piano when I was young,Agree,Neither Agree nor Disagree,the whole tone of the sog,2021-09-17 17:45:56,41504
27,S1C0835,19,,in ear,8,English,,SONA for course credit,,No,Male,,1,1,"Yes, but not so well",drums,Strongly Agree,Strongly Agree,tone changes,2021-09-18 12:58:26,41825
28,S1C0836,18,No,"headphones, in-ear",7-9,English,Mostly the difference between one note and the next and whether the jump sounded the same in the options,SONA for course credit,,Yes,Female,,6,2,No,,Strongly Agree,Agree,Timing and notes,2021-09-18 13:56:42,41650
29,S1C0837,19,No,headphones in the ear ,10-19,English,I said the ones with notes in a different key were more different. ,SONA for course credit,,Yes,Female,,10,9+,"Yes, I do alright","Piano, guitar",Strongly Agree,,if the note was flat or in a different key,2021-09-18 16:38:47,41762
30,S1C0838,19,No,in-ear,,Chinese (Mandarin),,SONA for course credit,,No,Female,,3,0,"Yes, but not so well",clarinet,Neither Agree nor Disagree,Neither Agree nor Disagree,No,2021-09-18 15:18:32,41724
31,S1C0839,18,No,Earphones (in ear),,Spanish,,SONA for course credit,,No,Female,,1,0,No,,Strongly Agree,Agree,Keeping my eyes closed and keeping track of the beats and the time between them,2021-09-18 15:21:47,41867
32,S1C1201,20,No,in ear headphones,,Other (please specify below):,,SONA for course credit,Bengali,No,Female,,0,0,No,,Strongly Agree,Agree,,2021-09-04 19:33:28,40094
33,S1C1202,,No,in-ear,,Chinese (Mandarin),,SONA for course credit,,No,Male,,6,0,No,,Agree,Agree,,2021-09-04 20:14:03,41054
34,S1C1204,19,No,in-ear headphones,,English,Some tones would stand out as different and I could hear them loud and clear,SONA for course credit,,Yes,Female,,0,0,No,,Strongly Agree,Disagree,I focused on the cross and listened for any off-key sounds,2021-09-05 19:18:35,41422
35,S1C1205,19,No,Airpods,"High School, 14-18",English,,SONA for course credit,,No,Female,,6,4,No,,Strongly Agree,Disagree,"No real strategy, just listened for wrong notes",2021-09-06 16:57:56,40727
36,S1C1206,19,Yes,I listened to the task using Jabra Elite 65t wireless earbuds,13-15,English,I felt like it was easier to notice a difference from the original melody when the change had a note turn into a sharp or a flat,SONA for course credit,,Yes,Male,"I felt the changes got less overt over the course of the task and that the latter changes involved changing steps into skips, so I tried to listen for that instead",5,3,"Yes, but not so well","Piano, Ukulele",Agree,Agree,I mainly just tried to memorize the initial melody's beginning and end with some attention towards the middle and then listened for changes to that middle section,2021-09-06 22:32:12,41427
37,S1C1207,19,No,Earbud,12-17,English,,SONA for course credit,,No,Other,,7,5,"Yes, I do alright",Piano,Agree,Agree,Instinct,2021-09-06 22:43:36,41026
38,S1C1208,18,Yes,I listened to the task using headphones-- specifically air pods in-ear. ,10-14,English,"I found that lower-tone out-of-place notes were the most distinguishable factor in unlikeliness to the original melody. I found that if a melody contained a low note not originally found in the melody it was much easier to select it as ""the most different."" ",SONA for course credit,,Yes,Female,"Sometimes I would notice that despite the sole low-note, the rest of the melody remained very similar to the original. I ended up selecting some of the lower-note options because I felt that there were more melodic ""mistakes"" in the counterpart.",6,4,No,,Strongly Agree,Agree,"I mentally recorded the first and last notes more-so than the middle, aiding in my comparison between the samples. I also noted the rhythm the original melody produced and compared it to the melodis.",2021-09-07 00:44:05,41404
39,S1C1209,18,No,Over-the-ear headphones- Beats Solo 3,12-14,English,I noticed that some melodies were shorter or had drastically different notes,SONA for course credit,,Yes,Female,,10,2,"Yes, I do alright","Flute, clarinet",Strongly Agree,Agree,Determine the differences in the notes,2021-09-08 18:27:14,41429
40,S1C1210,18,No,I listened to the task using headphones- in ear airpods. ,,English,They used different majors and minor keys.,SONA for course credit,,Yes,Female,,2,0,No,,Strongly Agree,Neither Agree nor Disagree,I zoned myself into the melodies using my headphones. It was easier to hear the different melodies that way. ,2021-09-15 13:37:39,41677
41,S1C1211,18,No,airpods in-ear,12,English,,SONA for course credit,,No,Female,,9,6,"Yes, I am near professional","flute, piano",Disagree,Agree,,2021-09-15 13:39:00,41657
42,S1C1212,19,No,In-ear airpods,10-18,English,Some of the melodies were changed from going up the octave to down,SONA for course credit,,Yes,Female,,6,8,"Yes, I do alright",Trumpet,Agree,Neither Agree nor Disagree,Just based off what differences I noticed and how far I felt they were from the original,2021-09-15 13:36:33,41500
43,S1C1213,18,No,"in-ear, airpods pro.",15-17,English,Changes in intervals,SONA for course credit,,Yes,Female,,3,3,"Yes, I do alright",Violin,Strongly Agree,Agree,Intervals,2021-09-15 13:53:52,41471
44,S1C1214,21,No,"earphones, in-ear ",10 to 13,English,,SONA for course credit,,No,Female,,6,3,"Yes, I do alright",piano and guitar ,Strongly Agree,Strongly Agree,listened to the intervals between each note and compared.,2021-09-18 12:19:16,41439
45,S1C1216,20,No,in-ear earbuds,13-16,Chinese (Mandarin),,SONA for course credit,,No,Female,,1,3,"Yes, but not so well","Violin, Guzheng",Strongly Agree,Strongly Agree,I try to remember the ending and beginning notes to distinguish the melodies,2021-09-18 20:57:59,41596
46,S1C1217,18,No,in-ear headphones,,English,Repetitions and the key,SONA for course credit,,Yes,Female,,2,0,No,,Strongly Agree,Disagree,None,2021-09-15 22:34:03,41841
47,S1C1218,19,No,"In ear headphones, airpods ",,English,Some keys were a different tone and it sounded off,SONA for course credit,,Yes,Female,,2,0,No,,Strongly Agree,Disagree,The sound of the keys being played,2021-09-15 21:40:38,41620
48,S1C1219,19,No,Bose over ear noise cancelling headphones ,13-14,English,where dissonance occurred and whether variations were higher or lower in litch,SONA for course credit,,Yes,Female,,8,2,"Yes, I do alright","guitar, bass",Strongly Agree,Agree,"note sequence, pitch, dissonance",2021-09-15 22:15:28,41648
49,S1C1220,19,No,in ear apple air pods,,English,"sometimes there were obvious key changes, other times it sounded like two notes were swapped",SONA for course credit,,Yes,Female,,2,0,"Yes, but not so well",i played the drums in HS drumline & band class,Strongly Agree,Disagree,"not sure, i just listened ",2021-09-16 21:47:09,41854
50,S1C1221,18,No,in-ear,17,Other (please specify below):,,SONA for course credit,cantonese,No,Female,,6,1,"Yes, I do alright",violin,Strongly Agree,Agree,I tried to differentiate the notes being played.,2021-09-16 21:43:07,41532
51,S1C1222,19,Yes,"earbuds, specifically airpods.",12-16,Spanish,"sometimes a sequence of notes would sound off, or they would sound good together (depending on the sequence of notes themselves or the high/low notes).",SONA for course credit,,Yes,Female,"4. I still used the same strategy for the most part, but I began using more intuition/instinct than anything.",6,6,"Yes, but not so well","Piano, violin, flute",Strongly Agree,Disagree,"the different high and low notes that were played, and any similar sequences.",2021-09-16 23:13:11,41708
52,S1C1225,19,No,headphones,,English,,SONA for course credit,,No,Female,,4,0,"Yes, but not so well",1,Strongly Agree,Agree,I listened to the key,2021-09-17 14:44:51,41540
53,S1C1226,18,No,In-ear headphones,,English,,SONA for course credit,,No,Female,,1,0,No,,Strongly Agree,Agree,,2021-09-17 16:13:44,41728
54,S1C1228,20,No,in-ear earbuds,5-14,English,,SONA for course credit,,No,Female,,7,8,"Yes, I do alright","piano, violin",Strongly Agree,Disagree,listened to the notes/note placement,2021-09-17 15:24:25,41642
55,S1C1230,18,No,in-ear headphones,,Spanish,,SONA for course credit,,No,Female,,2,0,No,,Agree,Agree,,2021-09-17 19:46:58,41683
56,S1C1234,19,No,in-ear,9,Chinese (Mandarin),,SONA for course credit,,No,Female,,3,1,"Yes, but not so well",Yang Qin,Strongly Agree,Agree,,2021-09-17 22:14:06,41485
57,S1C1236,18,No,in-ear ear buds,4-10,English,,SONA for course credit,,No,Female,,5,5,"Yes, I do alright",piano,Strongly Agree,Disagree,"pitch, tone",2021-09-18 15:33:06,41514
58,S1C1238,18,No,earphones ,,English,some of the options were more high pithced at some point,SONA for course credit,,Yes,Female,,4,0,No,,Strongly Agree,Strongly Disagree,,2021-09-18 17:31:27,41853
59,S1C1239,18,No,"I used in-ear earbuds (Airpods, not pro)",7-18,English,,SONA for course credit,,No,Male,,10,9+,"Yes, I do alright","Piano, Violin, Ukulele, Voice",Strongly Agree,Agree,"Listen for any notes that seemed out of place, such as a minor note in a major melody",2021-09-18 18:01:03,41955
60,S1C1251,22,No,in-ear headphones,,English,,SONA for course credit,,No,Male,,5,0,"Yes, but not so well",piano,Strongly Agree,Agree,i think I grouped strings of sounds together to make it easier to detect changes.,2021-09-21 22:31:34,41555
61,S1C1254,19,No,Over the ear,"12-14, 17-18",Chinese (Mandarin),When one tone sounds especially lower,SONA for course credit,,Yes,Female,,2,3,"Yes, but not so well","bass, piano",Agree,Strongly Agree,The change between each single tone,2021-09-22 10:33:18,41737
62,S1C1600,20,No,in ear earbuds,,English,pitch,SONA for course credit,,Yes,Female,,3,0,No,,Strongly Agree,Agree,,2021-09-05 03:03:46,41326
63,S1C1601,18,No,"In-ear earphones (specifically, the Apple AirPods Pro)",13-18,Other (please specify below):,"The difference in the high and low pitched sounds, as well as differences in the musical rhythm",SONA for course credit,English & Korean,Yes,Male,,6,5,"Yes, I do alright",Flute,Agree,Neither Agree nor Disagree,The high and low pitched sounds,2021-09-05 12:24:39,41425
64,S1C1602,19,No,Apple AirPods,,English,The rhythm and pitches of the music helped me distinguish between melodies and made it easier to choose the most different option.  ,SONA for course credit,,Yes,Female,,5,0,No,,Strongly Agree,Disagree,I tried to keep track of any notes that stood with in the test sounds and tried to keep track of the rhythm of the sounds. Then I choose the option where the notes were a different pitch and rhythm. ,2021-09-05 15:07:39,41433
65,S1C1604,18,No,in ear headphones,8-12,English,,SONA for course credit,,No,Female,,6,4,"Yes, but not so well","guitar, piano",Agree,Agree,trying to hum along,2021-09-05 19:30:44,41424
66,S1C1605,22,Yes,"in-ear, JBL LIVE 300TWS",6-12,Other (please specify below):,the number of especially high or especially low notes in the melody,SONA for course credit,Polish,Yes,Female,Not every melody had extra high or low notes so I would sometimes click as I felt was right at that moment. ,6,6,"Yes, but not so well",piano,Strongly Agree,Agree,I would try to listen for off-notes ,2021-09-09 04:22:52,41406
67,S1C1608,17,No,In-ear earbuds,16,English,I could tell when a note sounded off in a particular section in the melody compared to the original one.,SONA for course credit,,Yes,Female,,5,1,No,,Strongly Agree,Neither Agree nor Disagree,,2021-09-11 19:17:22,41395
68,S1C1609,21,Yes,in ear headphones ,10 -1 6,English,based discrimination on the pattern of lower tones and tried to just remember those instead of trying to remember every single tone,SONA for course credit,,Yes,Female,"started off trying to remember every single tone, but then switched about 1/2 way through to focus just on the lower tones ",2,6,No,,Strongly Agree,Agree,listened to the pattern of lower notes and tried to remember that ,2021-09-15 11:58:07,36250
69,S1C1610,18,No,over-the-ear,,Chinese (Mandarin),,SONA for course credit,,No,Female,,0,4,No,,Agree,Strongly Agree,No strategy,2021-09-15 14:31:13,41856
70,S1C1611,19,Yes,in-ear headphone (airpod pro),around 14 years old,Chinese (Mandarin),some of them are longer and some have higher pitch,SONA for course credit,,Yes,Female,"at the begging I tried to draw geometrical shapes that corresponded to the melody in my head, but later on I think the strategy does not work for all of them. This is when I started to draw waves.",6,1,"Yes, but not so well",violin,Strongly Agree,Agree,"imagining a wave inside my mind and when listen to the two options, see if they match with each other",2021-09-15 15:22:27,41562
71,S1C1612,18,No,I used my airpod pros to listen to the task.,,English,,SONA for course credit,,No,Female,,0,0,No,,Agree,Disagree,,2021-09-15 15:00:28,41770
72,S1C1613,18,No,Earphones; apple airpods 2nd gen,5-13,English,Some melodies were in major keys/minor keys. They had repeating notes,SONA for course credit,,Yes,Female,,4,8,"Yes, but not so well",Piano,Strongly Agree,Disagree,I thought of major/minor chords which may it easier to distinguish between the melodies. I also pictured my fingers on the keyboard.,2021-09-15 15:55:09,41884
73,S1C1614,18,No,"headphones, airpods",5-6,Other (please specify below):,,SONA for course credit,Vietnamese,No,Female,,7,3,"Yes, but not so well",Piano,Strongly Agree,Agree,"Flat notes, Majors/Minors",2021-09-15 15:55:40,41877
74,S1C1616,19,No,Airpods,4-18,English,,SONA for course credit,,No,Female,,8,9+,"Yes, I do alright","Piano, viola, guitar",Strongly Agree,Agree,Noting patterns/repetitions and trying to mimick parts with my fingers like a piano (just on a table though not an actual piano),2021-09-16 11:52:04,41447
75,S1C1617,19,No,I used Apple headphones and put them in my ears.,,English,,SONA for course credit,,No,Female,,1,0,No,,Strongly Agree,Neither Agree nor Disagree,Counting the beats.,2021-09-16 12:30:34,41487
76,S1C1619,20,No,in ear,4-8,Chinese (Mandarin),,SONA for course credit,,No,Female,,2,4,"Yes, I do alright",piano,Strongly Agree,Agree,by sense,2021-09-16 15:15:07,41599
77,S1C1622,20,No,speaker,8 - 9,Chinese (Mandarin),,SONA for course credit,,No,Female,,1,1,No,,Strongly Agree,Disagree,none,2021-09-17 01:53:48,41813
78,S1C1623,17,Yes,Headphones; in-ear; Airpods,,English,"For some of the trials, I noticed minor differences such as a note change (ex: higher or different pitches) or a longer melody/extra notes in the comparison melodies. ",SONA for course credit,,Yes,Female,"In some trials, all of the melodies sounded very similar so I had a difficult time figuring out which of the comparison melodies was more different than the test melody. As a result, I indicated that I could not hear a difference between them by pressing ""g."" ",3,0,No,,Strongly Agree,Disagree,The strategy I used to judge the similarity was carefully listening to the melodies and then noting even the slightest change.,2021-09-19 01:26:02,41829
79,S1C1624,19,No,"Yes, I used earphones (in-ear). Particularly, I used AirPods. ",7-14,Spanish,,SONA for course credit,,No,Female,,6,8,"Yes, I do alright",Drums and the recorder. ,Strongly Agree,Neither Agree nor Disagree,Look out for any changes in tone. ,2021-09-17 11:54:58,41787
80,S1C1627,18,No,in ear headphones,10-12,English,,SONA for course credit,,No,Female,,8,3,"Yes, but not so well",flute,Strongly Agree,Disagree,,2021-09-17 16:21:33,41740
81,S1C1628,19,No,I used noise cancelling AirPods ,8-10,English,,SONA for course credit,,No,Female,,5,2,"Yes, but not so well",Flute,Strongly Agree,Agree,remembering the beginning and ending of each melody,2021-09-17 17:29:32,41522
82,S1C1629,20,No,in-ear,6-14,Chinese (Mandarin),"For the melodies in this experiment, it is hard for me to feel the emotions and rhythm, so I can only notice changes based my discriminations on notes. However, because I use the strategy of feeling emotions and rhythm more often, so when I hear a melody that completely robotic, I feel super sleepy and cannot notice changes well.",SONA for course credit,,Yes,Female,,8,8,"Yes, I am near professional",Piano,Agree,Neither Agree nor Disagree,feeling the emotions; feeling the rhythm; tell the difference between notes and notes,2021-09-21 21:47:09,41550
83,S1C1632,19,No,over-the-ear headphones,10-15,Chinese (Mandarin),,SONA for course credit,,No,Male,,7,5,"Yes, I do alright",piano,Strongly Agree,Neither Agree nor Disagree,pay attention to keys that are not played during the test melody,2021-09-18 00:25:24,41616
84,S1C1634,20,No,Studio Monitors,10-12 & 13-15,English,,SONA for course credit,,No,Male,,10,4,"Yes, I am near professional","Drums, Keys, Samplers, Synths",Strongly Agree,Strongly Disagree,,2021-09-18 09:20:20,39944
85,S1C1635,18,No,in ear airpods,5- 18,English,key changes,SONA for course credit,,Yes,Female,,7,9+,"Yes, I do alright","clarinet, piano",Agree,Strongly Agree,,2021-09-18 18:26:17,39847
86,S1C1638,20,No,"yes, earpods",,Other (please specify below):,,SONA for course credit,portuguese,No,Female,,4,0,No,,Strongly Agree,Neither Agree nor Disagree,,2021-09-22 08:47:24,41417
87,S1C1651,21,No,In-ear,,Chinese (Mandarin),The key is different,SONA for course credit,,Yes,Male,,2,0,"Yes, but not so well",Guitar,Neither Agree nor Disagree,Strongly Agree,,2021-09-21 22:23:24,41484
88,S1C1654,18,No,"Earphones, airpods ",10-18,English,,SONA for course credit,,No,Male,,8,8,"Yes, I do alright",Viola,Strongly Agree,Neither Agree nor Disagree,Any notes that were of different pitches or didn't sound right compared to the test melody,2021-09-22 12:50:12,41739
89,S1C1655,19,No,earphones airpod pros on noise cancellation mode,4-19,English,"added beats, off key notes hidden inside",SONA for course credit,,Yes,Female,,7,9+,"Yes, I do alright","flute, piano, violin, guitar",Strongly Agree,Neither Agree nor Disagree,"rhythm, beat, key changes",2021-09-22 15:27:59,41687
90,S1C1656,18,No,headphones with both earbuds in ,15-18,English,,SONA for course credit,,No,Female,,7,3,"Yes, I do alright",ukulele and clarinet,Strongly Agree,Neither Agree nor Disagree,hearing a note on a different key,2021-09-21 18:07:36,41661
91,S1C1657,18,No,,,Spanish,,SONA for course credit,,No,Female,,2,0,No,,Strongly Agree,Strongly Disagree,,2021-09-23 15:58:30,41636
92,S1C1658,17,No,in-ear airpods,,Other (please specify below):,,SONA for course credit,arabic,No,Female,,6,0,No,,Strongly Agree,Neither Agree nor Disagree,,2021-09-23 18:02:58,41590
93,S1C1659,21,No,over-the-ear,,Chinese (Mandarin),,SONA for course credit,,No,Female,,4,0,"Yes, but not so well",piano,Strongly Agree,Agree,I pay attention to weird note if it appears,2021-09-22 19:33:03,41538
94,S1C1660,19,Yes,in-ear,12-13,Chinese (Mandarin),some melodies will have one pitch which sounds extremely different than the original one,SONA for course credit,,Yes,Female,I don't remember the block section. But sometimes the length of melodies changes instead of that specific unfit pitch. ,1,1,"Yes, but not so well",guitar,Strongly Agree,Strongly Agree,the length of the melody. and the general tone,2021-09-21 21:41:04,41905
95,S1C1663,18,No,"headphones, in-ear, cheap air port ones ",8-13,English,"Highest notes, lowest notes, and if there were mostly major or minor sounds. ",SONA for course credit,,Yes,Female,,3,5,"Yes, I do alright","Guitar and bass guitar, I took piano lessons but don't sill play. ",Strongly Agree,Agree,Trying to play back the original melody as the options were playing ,2021-09-22 21:24:45,41718
96,S1C1664,21,No,No,7-13,Chinese (Mandarin),,SONA for course credit,,Yes,Female,,8,6,"Yes, I do alright",piano,Strongly Agree,Disagree,my feeling,2021-09-22 22:01:39,41828
97,S1C1669,18,No,in-ear headphones,5-8,English,,SONA for course credit,,No,Female,,6,3,No,,Strongly Agree,Strongly Disagree,,2021-09-26 12:57:04,41685
98,S1C1670,20,No,I used Airpods (earpods),10-11,English,"I picked options based on how closely they resembled the high/low notes in the original tune. Some changes were very drastic, so that is how I differentiated the similar ones. ",SONA for course credit,,Yes,Female,,7,9+,"Yes, I do alright","piano, guitar, ukelele",Agree,Agree,how high/how low some notes sounded; the flow and general pattern of the notes,2021-09-26 22:40:31,41627
99,S1C1673,18,No,"In-ear, apple earphones",6 years old,English,Some melodies sounded to have much higher/ lower sounds than the original.,SONA for course credit,,Yes,Female,,2,1,"Yes, but not so well",Violin,Strongly Agree,Agree,I try to listen to the highest notes and lowest notes,2021-09-27 16:22:37,41764
100,S1C1674,19,No,in-ear headphones ,13-17,English,"yes, irregularities in notes (off melodies) tended to hint at which option was different ",SONA for course credit,,Yes,Female,,5,4,"Yes, I do alright",piano ,Strongly Agree,Disagree,changes in pitch/intonation ,2021-09-27 20:06:40,39559
101,S1C1675,20,No,earbuds(airpods pro),,English,,SONA for course credit,,No,Male,,0,0,No,,Strongly Agree,Neither Agree nor Disagree,,2021-09-27 20:26:06,41576
102,S1C1676,25,No,headphones over ear,11-16,English,,SONA for course credit,,No,Other,,4,5,"Yes, I do alright","Cello, Guitar, Piano, Violin, Viola",Agree,Agree,,2021-09-28 11:08:56,40397
103,S1C1677,19,No,yes earphones,10,English,keys,SONA for course credit,,Yes,Female,,7,9+,"Yes, I do alright",piano,Strongly Agree,Strongly Disagree,,2021-09-28 10:58:14,41534
