,subject,subject_age,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,How did you arrive at this experiment?,What is your first language (if other)?,subject_gender,How many years of formal music theory training do you have?,Do you have perfect (absolute) pitch?,What informed your judgement (if anything) of how familiar were the melodies?,What general strategy (if any) did you use to judge whether melodies had some notes that were more important than others?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
10,SSSQ0012,18,in-ear panasonic wired headphones,6-18,English,SONA for course credit,,Female,6+,No,"Some sounded like parts of a classical piece, not many. My familiarity was mainly because notes sounded like piano keys.",How much the notes ranged,8,9+,"Yes, I do alright",Piano,Strongly Agree,Disagree,If they sounded good together,2020-12-07 01:03:51,40247
11,SSSQ0013,21,apple headphones,8-14,English,SONA for course credit,,Female,2-3,No,memory recall,notes that stood out,6,4-5,No,,Strongly Agree,Strongly Disagree,personal prefernce,2020-12-07 00:11:51,39363
12,SSSQ0014,20,Over the Ear Headphone,14,Other (please specify below):,SONA for course credit,Chinese,Male,0,Not sure,Feelings,Feelings and Loudness,4,1,"Yes, but not so well",Ukulele and Harmonica,Strongly Agree,Neither Agree nor Disagree,Feelings,2020-12-07 01:18:48,39820
13,SSSQ0015,18,Air-pod pros,"In my middle school, we were all required to take music theory training, but I honestly don't remember much",English,SONA for course credit,,Female,2-3,No,no strategy,"no organized strategy, but I'm a dancer so beat patterns a bit",5,0,No,none,Strongly Agree,Neither Agree nor Disagree,no strategy,2020-12-07 01:56:47,40104
14,SSSQ0016,20,"yes I used over ear hadphones, bose, not sure which model ",no training,English,SONA for course credit,,Female,0,No,not at all familiar,none just listened ,0,0,No,0,Strongly Agree,Strongly Disagree,just listening ,2020-12-07 11:06:43,37134
15,SSSQ0020,20,In-ear headphones (Apple Airpods),5-14,English,SONA for course credit,,Female,6+,No,"If there were similar note patterns, or the same notes as other audio clips. ",If I felt that certain notes stuck out to me as being more emphasized (they were played louder or played more frequently).,7,9+,"Yes, I do alright","Piano, Guitar, Clarinet, Ukelele",Agree,Neither Agree nor Disagree,"I judged a clip as melodic if it sounded pleasant, or like an actual melody in a song. ",2020-12-07 15:03:57,36700
16,SSSQ0021,18,"I used apple AirPods, first generation",8-18,English,SONA for course credit,,Female,2-3,No,"Certain parts of the clips stood out to me more than others; they felt more common or ""right"" when I heard them.","I interpreted ""important"" to mean noticeable, so I judged based on how noticeable and out of place certain notes were.",9,9+,"Yes, I do alright","Ukulele, guitar, bass guitar, singing",Strongly Agree,Neither Agree nor Disagree,"If the notes were in the same key, I considered the audio clip to be extremely melodic. If the notes jumped around a lot or were not in the same key, I didn't rate the clips to be very melodic.",2020-12-07 22:52:11,39851
17,SSSQ0022,27,,,Other (please specify below):,SONA for course credit,Bengali,Female,0,No,,,3,0,No,,Agree,Neither Agree nor Disagree,,2020-12-08 16:27:07,40329
18,SSSQ0023,19,over-the-ear headphones,9-14,English,SONA for course credit,,Female,2-3,No,If they sounded exact to something I had heard before.,If there were a certain note that stood out / resonated in the sequence because of how often it was repeated.,6,4-5,"Yes, I do alright","Keyboard, guitar, ukulele, bass clarinet",Agree,Neither Agree nor Disagree,If it sounded like a possible existing chord progression,2020-12-13 20:51:52,40146
19,SSSQ0025,19,,,English,SONA for course credit,,Male,4-5,No,,,,4-5,"Yes, but not so well",,Agree,Agree,,2020-12-09 10:23:34,38356
20,SSSQ0026,19,Over the ear Studio Beats ,,English,SONA for course credit,,Male,0,Not sure,Focus,Listening,3,0,No,,Agree,Neither Agree nor Disagree,None,2020-12-09 12:09:30,40065
21,SSSQ0028,21,airpod,,Other (please specify below):,SONA for course credit,chinese,Female,0,Not sure,Intuition,,2,0,"Yes, but not so well",Chinese flute,Agree,Disagree,,2020-12-13 21:50:22,40315
22,SSSQ0050,20,"Headphones, over-the-ear, Beats Solo3 Wireless",6~17,Other (please specify below):,SONA for course credit,Korean,Female,0,No,,,7,9+,No,,Strongly Agree,Neither Agree nor Disagree,,2020-11-21 22:52:29,40200
23,SSSQ0056,19,Headphones,13-16,English,SONA for course credit,,Male,0,No,Based on what I thought I heard before,If a note was changed would it significantly change the progression,8,2-3,"Yes, I do alright","Trombone, Guitar",Strongly Agree,Disagree,How I thought they would sound with lyrics over them,2020-11-21 23:37:03,40061
24,SSSQ0057,18,in-ear headphones,11-13,Other (please specify below):,SONA for course credit,Mandarin,Female,0,No,similar tone and pitch,,3,2-3,"Yes, but not so well",piano,Agree,Strongly Agree,,2020-11-22 00:00:56,39606
25,SSSQ0060,20,in-ear,"9-13, 18-20",Other (please specify below):,SONA for course credit,Chinese,Female,0,No,the scale and repitition,,6,6-8,"Yes, I do alright",Guzheng and violin,Neither Agree nor Disagree,Agree,,2020-11-22 00:10:22,39347
26,SSSQ0061,20,Airpods,,English,SONA for course credit,,Male,0,Not sure,Natural instinct ,Drastic change in notes such as how the note drops. ,3,0,No,flute,Agree,Neither Agree nor Disagree,Mostly by the pitch and pattern of notes repeated ,2020-11-22 01:50:38,39937
27,SSSQ0062,19,Headphones. Airpods. ,12-14,Other (please specify below):,SONA for course credit,Turkish,Female,1,No,,I tried to picture the pianist's hands on the piano.,7,2-3,No,I used to play the piano and the violin. ,Agree,Neither Agree nor Disagree,,2020-11-22 01:40:57,39465
28,SSSQ0064,20,Earphones,7-10,English,SONA for course credit,,Female,0,Yes,By previous melodies,If they were more prominent,5,1,No,,Strongly Disagree,Neither Agree nor Disagree,By Taste,2020-11-22 06:05:55,36018
29,SSSQ0067,19,in-ear (earphones),4-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,No,,,7,6-8,"Yes, I do alright",violin,Strongly Agree,Neither Agree nor Disagree,,2020-11-22 09:06:14,38403
30,SSSQ0068,21,in-ear apple earphones,12-13,Other (please specify below):,SONA for course credit,Polish,Male,1,No,,Pitch,7,1,"Yes, but not so well",Guitar,Strongly Agree,Strongly Agree,Recognizing smaller samples ,2020-11-22 10:05:38,40103
31,SSSQ0069,21,Over ear headphones,9-13,English,SONA for course credit,,Male,0,No,Just basic instinct,If they stood out to me or felt sharper,3,2-3,"Yes, but not so well","Clarinet, Bass",Agree,Strongly Agree,If they sounded good to my ear,2020-11-22 15:01:17,39563
32,SSSQ0070,20,Over-the-ear headphones,9-14,Other (please specify below):,SONA for course credit,Chinese,Male,1,No,previous melodies that I have heard,The pitch level of the notes,7,4-5,"Yes, I do alright","Piano, Recorder",Strongly Agree,Neither Agree nor Disagree,none,2020-11-22 14:28:03,40267
33,SSSQ0071,20,"headphones, in-ear",7-13,English,SONA for course credit,,Female,2-3,Yes,my musical training,if the amplitude of the note was greater than others,5,6-8,"Yes, but not so well",piano,Strongly Agree,Neither Agree nor Disagree,if they sounded nice to me ,2020-11-22 14:46:58,39856
34,SSSQ0072,19,"in ear, apple airpods",10,English,SONA for course credit,,Female,0,Not sure,gut feeling,if some were higher than the one directly before,5,1,No,,Strongly Agree,Agree,comparing some tones to others,2020-11-22 23:26:27,39795
35,SSSQ0076,21,In ear headphone,9-14,English,SONA for course credit,,Female,0,No,If there were any familiar sounds present,Paid attention to greater change in sound and tone,6,4-5,"Yes, but not so well",Cello,Strongly Agree,Strongly Disagree,The changes in tone and the overall flow,2020-11-22 17:48:58,39492
36,SSSQ0077,20,speakers,5-20,English,SONA for course credit,,Female,6+,No,hearing it in my head (ear training),note emphasis and accents and melodic contour,9,9+,"Yes, I am near professional",violin,Strongly Agree,Neither Agree nor Disagree,no strategy,2020-11-22 17:47:07,39780
37,SSSQ0082,19,headphone(airpods),,English,SONA for course credit,,Female,0,Not sure,,If a certain note sounded emphasized,1,0,No,,Agree,Strongly Agree,If it was soothing or went together,2020-11-22 19:08:25,39938
38,SSSQ0083,18,in ear headphones,,English,SONA for course credit,,Female,0,No,,,1,0,No,,Strongly Agree,Disagree,,2020-11-22 18:44:18,39865
39,SSSQ0084,21,headphones,8-18,English,SONA for course credit,,Female,2-3,No,thought of the scale in my head,,7,6-8,No,,Agree,Neither Agree nor Disagree,,2020-11-22 20:17:22,39943
40,SSSQ0088,19,in ear headphones,19,English,SONA for course credit,,Female,0,Not sure,,,2,1,No,violin ,Neither Agree nor Disagree,Agree,I tried to listen to the clips as best as I could and thinking about ,2020-11-22 22:42:13,39895
41,SSSQ0089,20,,10-13,English,SONA for course credit,,Female,0,No,,,0,2-3,No,,Strongly Agree,Strongly Agree,,2020-11-22 20:58:45,37774
42,SSSQ0090,18,"in-ear earphones, Apple Airpod Pros","7-9, 13-14",English,SONA for course credit,,Male,0,No,instinct,if they stuck out to me,4,4-5,"Yes, but not so well",trombone,Strongly Agree,Agree,none,2020-11-22 22:00:31,39803
43,SSSQ0091,20,no,6,Other (please specify below):,SONA for course credit,chinese,Female,0,No,,,2,1,"Yes, but not so well","piano, guitar",Strongly Agree,Agree,personal feeling,2020-11-22 21:48:50,38343
44,SSSQ0092,19,in ear,,Other (please specify below):,SONA for course credit,French,Male,0,No,a lot of the melodies had some very off notes to me,notes that stood out from the rest in terms of octave or pitch,3,0,No,,Strongly Agree,Neither Agree nor Disagree,how logical and pretty the notes sounded together,2020-11-22 22:17:03,40259
45,SSSQ0094,19,In ear headphones ,14,English,SONA for course credit,,Male,1,No,Memories of melodies I have previously heard ,Drastic changes in pitch stood out as important.,3,1,No,None,Agree,Neither Agree nor Disagree,Instinct ,2020-11-23 00:16:26,40159
46,SSSQ0095,18,in-ear headphones,12-16,Spanish,SONA for course credit,,Female,2-3,Not sure,if certain melodies reminded me of a song,higher or lower sounds with abrupt changes,8,4-5,"Yes, I do alright","piano, violin",Strongly Agree,Neither Agree nor Disagree,identify very low and very high frequencies,2020-11-23 00:20:33,40116
47,SSSQ0101,18,over ear,,English,SONA for course credit,,Male,0,Not sure,,,0,0,No,,Strongly Agree,Strongly Agree,,2020-11-23 02:01:38,40084
48,SSSQ0102,19,in-ear,9-17,Other (please specify below):,SONA for course credit,Chinese,Male,2-3,Not sure,Memory,repetition and pitch,9,6-8,"Yes, I do alright",Drum,Agree,Disagree,Do they sound right,2020-11-23 03:44:48,39864
49,SSSQ0103,21,yes; wireless Bluetooth headphones (TaoTronics TT-BH07),16-17,English,SONA for course credit,,Female,1,No,My not-super-informed judgement of notes and pitch,If a melody had more notes that were in the same key,7,2-3,"Yes, but not so well","Guitar, voice",Agree,Strongly Agree,How discordant the notes sounded,2020-11-23 03:20:29,36003
50,SSSQ0104,19,"Ear buds, although I do own 2 pairs of studio monitors :)",13-19,English,SONA for course credit,,Male,2-3,No,If the notes sounded like they belonged to the same scale or made up diatonic triads,Whether the notes were repeating or placed after certain notes,10,4-5,"Yes, I do alright",Piano,Strongly Agree,Strongly Disagree,Scales and Intervals,2020-11-23 04:01:04,40107
51,SSSQ0105,19,airpods,8-10,Other (please specify below):,SONA for course credit,Korean,Female,1,Not sure,,,7,2-3,"Yes, I do alright",piano,Strongly Agree,Disagree,,2020-11-23 05:04:10,39875
52,SSSQ0106,19,in ear,10-12,Other (please specify below):,SONA for course credit,chinese,Female,0,Not sure,,,7,2-3,"Yes, but not so well",guitar,Agree,Neither Agree nor Disagree,,2020-11-23 04:43:10,40271
53,SSSQ0107,24,in-ear (Airpods),during preschool and early elementary school,Other (please specify below):,SONA for course credit,Korean,Male,0,No,to compare with familiar melody lines,,4,2-3,"Yes, but not so well",Piano,Strongly Agree,Disagree,I think I looked for the notes that sounded out of tune,2020-11-23 09:18:37,40178
54,SSSQ0108,19,Speakers,14,English,SONA for course credit,,Female,2-3,Not sure,Trying to remember key notes,,7,1,"Yes, I do alright",,Neither Agree nor Disagree,Agree,,2020-11-23 12:10:01,39892
55,SSSQ0109,18,headphones - over the ears. Razer kraken ,,English,SONA for course credit,,Male,1,No,I just tried to connect it with something I knew,Usually if a note was an outlier pitch wise or the same note was played twice in different places ,2,0,No,,Strongly Agree,Agree,I just did it by ear. ,2020-12-04 09:38:07,39976
56,SSSQ0110,21,airpods,7-10,English,SONA for course credit,,Male,0,No,happiness,patterns,2,2-3,"Yes, but not so well",drums,Strongly Agree,Agree,none,2020-11-23 17:54:06,40306
57,SSSQ0111,20,bose noise cancelling headphones ,8-13,English,SONA for course credit,,Male,1,No,if there was a few notes that reminded me of something I've heard before,repetition ,5,4-5,"Yes, I do alright",piano,Agree,Disagree,repetition ,2020-11-23 11:53:42,39963
58,SSSQ0112,18,I used 2nd generation airpods,12,English,SONA for course credit,,Female,0,No,I think I found myself finding things that alternate notes more familiar.,"Either the melody had a lot of one note making it important, or there were standout notes I heard making it important. So I guess outlier notes and common notes",2,1,No,,Agree,Neither Agree nor Disagree,whether the notes were similar. Melodys with notes that were really different were more often marked as not melodic I think,2020-11-23 11:53:39,40269
59,SSSQ0113,20,headphones in-ear,13,English,SONA for course credit,,Female,0,Not sure,how high or low the note went,stronger tone to the key,4,1,No,,Agree,Neither Agree nor Disagree,the tune,2020-11-23 15:24:04,36210
60,SSSQ0114,21,Over-the-ear speakers,,English,SONA for course credit,,Male,0,No,If they sounded familiar or not,How it sounded,2,0,No,,Strongly Agree,Strongly Disagree,"Just listened, no strategy",2020-11-23 12:12:26,39586
61,SSSQ0116,18,in-ear headphones,7-18,English,SONA for course credit,,Female,0,Yes,,,8,9+,"Yes, I do alright",violin,Strongly Agree,Disagree,,2020-11-23 13:11:09,39732
62,SSSQ0117,18,"Over-the-ear headphones, Bose QuietComfort 35",12-17,English,SONA for course credit,,Female,2-3,No,If it reminded me of any song or piece,If I was able to recall certain notes over other notes in the melody,5,4-5,"Yes, I do alright","Piano, Violin",Agree,Disagree,Just based on feel; I had no strategy,2020-11-23 20:47:24,39994
63,SSSQ0118,20,in-ear earpohnes,3-17,English,SONA for course credit,,Male,6+,No,If they sounded like a song or part of a song that I am familiar with,If i had repeats of the same note multiple times in the clip,8,9+,"Yes, I do alright","piano, violin, guitar, singing",Strongly Agree,Agree,"If the audio clips were generally in the same key, then I found them more melodic",2020-11-23 14:26:27,39592
64,SSSQ0120,20,headphones,,English,SONA for course credit,,Male,0,No,my gut,,4,0,No,,Agree,Neither Agree nor Disagree,I tried my best to pay attention to sudden changes in pitch,2020-11-23 14:39:39,40111
65,SSSQ0122,19,"in ear, airpods",,English,SONA for course credit,,Female,0,Not sure,,pitch higher or lower,6,0,No,,Agree,Strongly Disagree,,2020-11-23 14:52:39,40302
66,SSSQ0123,19,Laptop speakers made by HARMAN,9 to 18,Other (please specify below):,SONA for course credit,Mandarin Chinese,Male,2-3,No,intuitive feeling if I feel familiar ,# of occurances,7,9+,"Yes, I do alright","Flute, Piccolo, French Horn, Piano",Agree,Disagree,By repetition of a sequence of notes,2020-11-23 19:52:47,40298
67,SSSQ0124,19,airpods 1st edition,7-18,Other (please specify below):,SONA for course credit,alternate between English Telugu French,Female,2-3,No,sounded like pieces from the well tempered clavier (bach),"try to hear accent notes, but some high/low notes naturally sound louder to me",6,9+,"Yes, I do alright","Piano, Clarinet, Saxophone",Strongly Agree,Strongly Agree,"how dissonant the notes were, breaks, any melodic patters",2020-11-23 15:26:01,37873
68,SSSQ0134,20,"laptop speaker, macbook pro 2017",12-14,English,SONA for course credit,,Female,0,No,"If some notes triggered a memory of a certain song, I agreed that it was familiar","If some notes were radically different than the surrounding notes enough to make a certain effect, I said it was more important",7,2-3,"Yes, I do alright","Drums, piano, guitar, clarinet",Agree,Agree,I listened to the notes relatively to each other to see if there is a melodic relationship between them,2020-11-23 18:25:52,40016
69,SSSQ0136,21,air-pods,,English,SONA for course credit,,Female,0,No,if I felt like I had heard them before,If I though I heard one note a lot or it felt like a note was louder,0,0,No,,Strongly Agree,Neither Agree nor Disagree,if they sounded nice,2020-11-23 18:22:09,40045
70,SSSQ0138,20,in-ear apple earbuds,7-12,English,SONA for course credit,,Female,0,No,,,5,4-5,No,,Strongly Agree,Strongly Disagree,,2020-11-23 20:00:55,40305
71,SSSQ0139,19,Wire in-ear earbuds (Sony),7-18,English,SONA for course credit,,Female,4-5,No,The repetition of certain intervals and perfect endings,Intervals between the notes,9,9+,"Yes, I am near professional",piano,Strongly Agree,Agree,"Whether they ended in perfect cadence, how major/minor they sounded overall, the intervals that were used between the notes",2020-11-23 19:38:38,39972
72,SSSQ0142,19,In ear headphones. Airpods.,11,English,SONA for course credit,,Male,1,No,If it struck me as familiar.,Which notes appeared to be emphasized.,7,2-3,No,,Agree,Agree,If it I liked it.,2020-11-23 21:58:39,40203
73,SSSQ0143,19,in-ear earphones,,Other (please specify below):,SONA for course credit,Chinese,Female,0,Not sure,If it sounded like what I've heard before,If there was alternation between notes,0,0,No,None,Agree,Neither Agree nor Disagree,If it sounds more like it could be in music rather than a ringtone,2020-11-24 01:45:30,40308
74,SSSQ0151,19,in-ear,14-17,Other (please specify below):,SONA for course credit,chinese,Female,1,No,if i can recall a similar melody in my head,if one high pitch stands out in the notes,3,2-3,"Yes, I do alright","piano, saxophone",Agree,Disagree,the pitch,2020-11-27 09:02:26,40301
75,SSSQ0152,21,over-the-ear,5-9,Other (please specify below):,SONA for course credit,Korean,Female,0,Not sure,the experience that i've ever heard something similar,if it is repeated or noticeably rare in the set,8,4-5,"Yes, I do alright","Ukulele, gayakeum",Strongly Agree,Strongly Agree,guessing,2020-11-24 09:55:36,39525
76,SSSQ0153,19,"yes, generic in ear buds",9-12,English,SONA for course credit,,Male,0,No,none were very familiar,"loudness, pitch",1,1,"Yes, but not so well",guitar,Disagree,Disagree,whether or not it sounded good,2020-11-25 01:20:02,40292
77,SSSQ0156,19,in-ear apple airpods generation 1,,English,SONA for course credit,,Female,0,No,If they sounded similar to a song I already knew.,If there was a dramatic note change from high to low or low to high.,3,0,No,,Agree,Agree,I was a ballet dancer so I have listened to a lot of classical music growing up. I tried to judge the melodies based on music I have previously listened to.,2020-11-24 18:43:35,39821
78,SSSQ0159,18,in ear ,12,Spanish,SONA for course credit,,Female,1,No,songs ive praticed,which notes were lower,4,1,No,,Agree,Neither Agree nor Disagree,i counted beats,2020-11-24 20:09:05,40038
79,SSSQ0163,19,headphones,10,English,SONA for course credit,,Male,6+,No,"The first, second, and third rhythm",By when I heard the highest and lowest notes,6,6-8,"Yes, I do alright",Trumpet,Agree,Agree,Pitch and Continuity,2020-12-02 13:31:38,39861
80,SSSQ0165,20,apple earpods w/ 3.5mm jack. model A1472,age 9 - 19,English,SONA for course credit,,Male,2-3,No,nothing in particular,if the notes were repeated or if they were higher or lower in octave by a lot. ,9,9+,"Yes, I do alright","guitar, saxophone",Agree,Disagree,"if it sounded like it could begin a melody for a song, generally i rated it higher. if it sounded wonky i rated it lower",2020-11-24 22:23:13,39149
81,SSSQ0172,19,in-ear,14,English,SONA for course credit,,Male,1,Not sure,feeling,vibe,6,1,No,,Neither Agree nor Disagree,Neither Agree nor Disagree,how well the notes sounded together,2020-11-24 23:50:00,40150
82,SSSQ0173,19,Headphones (over-the-ear) - Beats Studio3,10-13,English,SONA for course credit,,Female,2-3,No,"Patterns I've heard in music (mostly classical, but some that reminded me of cinematic pieces).","Thinking about how I would play it on the piano,",5,2-3,"Yes, I do alright",Piano / Guitar,Strongly Agree,Agree,Listening for patterns and chords.,2020-11-24 22:59:12,39480
83,SSSQ0178,21,Over-the-ear,,English,SONA for course credit,,Female,1,Not sure,,,4,0,No,,Agree,Neither Agree nor Disagree,,2020-11-25 01:17:48,40054
84,SSSQ0180,20,,,Other (please specify below):,SONA for course credit,Chinese,Male,0,Yes,,,5,0,No,no,Agree,Neither Agree nor Disagree,,2020-11-25 14:52:53,39512
85,SSSQ0182,20,Headphones,0,English,SONA for course credit,,Male,0,No,Just feelings,"Like mentioned before, paying attention and catching patterns if there were any as I am not musical",3,0,No,,Strongly Agree,Neither Agree nor Disagree,Paying attention and catching patterns if there were any,2020-11-25 09:01:24,40166
86,SSSQ0183,18,in-ear headphones,4-11,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Yes,,,7,6-8,No,,Strongly Agree,Strongly Disagree,,2020-11-25 09:32:11,39765
87,SSSQ0184,19,"headphones, air pods",,English,SONA for course credit,,Female,0,No,,,5,0,No,,Strongly Agree,Strongly Agree,,2020-11-25 11:18:56,39738
88,SSSQ0185,20,"headphones (in-ear), rather cheap (approx. 15 USD), missing rubber on right earbud",8-11,English,SONA for course credit,,Male,1,No,"patterns, however hearing segments of said familiar melodies typically decreased how melodic the melody sounded because it raises my expectations to hear something that actually flows","impact of note on listener and mood of ""melody"" (if you can call them that)- if it was a weird note then it was considered important",5,2-3,"Yes, but not so well",piano,Strongly Agree,Neither Agree nor Disagree,"melodic patterns, note progression, majors, tones",2020-11-26 12:15:49,40096
89,SSSQ0186,19,headphones over-the-ear,4 years to now,Other (please specify below):,SONA for course credit,Mandarin,Female,6+,Yes,,"they bring out the feature of the clip (e.g. repetitive notes felt less significant than unrepeated notes, usually)",8,9+,"Yes, I am near professional",piano,Agree,Strongly Disagree,it has a flow and a key,2020-11-25 11:53:31,40288
90,SSSQ0188,20,sennheiser open back headphones,13-15,English,SONA for course credit,,Male,2-3,No,did it sound like something I listened to before,did they stand out,10,2-3,"Yes, I do alright",piano,Strongly Agree,Strongly Agree,did I like it,2020-11-25 16:03:31,40097
91,SSSQ0189,19,headphones,10-15,English,SONA for course credit,,Male,0,No,the way they sounded,if they fit or not,1,4-5,No,,Strongly Agree,Disagree,the tone,2020-12-01 22:37:27,39904
92,SSSQ0190,18,I'm using an over the ear SteelSeries 61473 headset. ,5-16,English,SONA for course credit,,Female,2-3,No,"Not at all, purely based on personal judgement.","No strategy, just assumptions. ",7,9+,"Yes, I do alright",Piano,Agree,Neither Agree nor Disagree,I just listened to my ears.,2020-11-25 17:50:35,39960
93,SSSQ0191,19,headphones,12-15,English,SONA for course credit,,Female,0,No,Just if I recognized any string of notes,,6,2-3,"Yes, I do alright","flute, piano",Strongly Agree,Disagree,If I could hum the clips after hearing. If there was a cohesive flow,2020-11-25 16:35:08,39486
94,SSSQ0192,21,in ear airpod pro,7-18,English,SONA for course credit,,Female,6+,No,"familiar end cadences, repeating patterns","repeated notes, notes that were different from the rest",8,9+,"Yes, I am near professional","piano, violin, guitar",Strongly Agree,Neither Agree nor Disagree,"cadences, familiar endings, minor pitches",2020-11-30 07:27:02,37100
95,SSSQ0193,19,Headphones,8-17,Other (please specify below):,SONA for course credit,Korean,Male,1,No,,,6,9+,"Yes, I do alright","Guitar, Clarinet",Neither Agree nor Disagree,Agree,,2020-11-25 18:24:49,39844
96,SSSQ0194,19,Apple airpods,13-14,English,SONA for course credit,,Female,1,Yes,I just trusted my gut. Some gave me minor nostalgia,"I'm not sure, this one was difficult but also my intuition",2,1,"Yes, but not so well",Guitar,Agree,Neither Agree nor Disagree,First impression of it ,2020-11-25 18:57:26,39984
97,SSSQ0195,19,in-ear headphones,,English,SONA for course credit,,Female,0,No,My music tastes and how often I listen to music ,if they registered in my mind ,0,0,No,,Strongly Agree,Disagree,if I liked them and if I recognized how any familiar songs ,2020-11-25 21:12:30,39863
98,SSSQ0196,19,Airpod Pros,,English,SONA for course credit,,Male,0,Not sure,,The volume and pitch,3,0,No,,Strongly Agree,Strongly Disagree,,2020-11-25 22:43:10,38398
99,SSSQ0197,18,"headphones, over-the-ear",8-10 years old,English,SONA for course credit,,Female,0,No,Sometimes they reminded me of songs from musicals or theme songs from TV shows. Other times it seemed different than anything I heard.,"some of them seemed emphasized (pressed harder on keys), if they stood out (were higher or lower than the other notes in the sequence), or if they were played more than other notes in the sequence",7,2-3,"Yes, I do alright",piano,Agree,Strongly Agree,"if the notes matched up well and did not sound too off key, if they stayed within a similar range",2020-11-25 23:28:58,39476
100,SSSQ0203,20,in ear air pods,9,English,SONA for course credit,,Female,2-3,No,,"pitch, height of pitch, dynamic",5,4-5,"Yes, I do alright",Piano,Strongly Agree,Neither Agree nor Disagree,"repetition of notes, major/minor ",2020-11-26 23:21:19,38775
101,SSSQ0204,19,In-ear apple airpods,,English,SONA for course credit,,Female,0,No,Memory,High contrast from the other notes,4,0,"Yes, I do alright",Guitar,Strongly Agree,Disagree,Instinct,2020-11-27 01:33:50,40249
102,SSSQ0205,20,studio monitors,8,Spanish,SONA for course credit,,Male,1,Not sure,Several of YouTube videos.,I tried to remember if I've heard it before.,6,1,No,No,Strongly Agree,Agree,I compare with sounds I've heard in the past.,2020-11-27 04:30:16,40278
103,SSSQ0207,19,Airpods,,English,SONA for course credit,,Male,0,No,,,2,0,No,,Agree,Agree,,2020-11-27 10:41:20,39776
