,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,Q15 - Parent Topics,Q15 - Topics,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
10,SSS0010,20,No,in ear earphones,,English,,,,SONA for course credit,,No,Female,,4,2-3,No,,Agree,Strongly Agree,int0nations and pitch.,2020-10-19 01:24:30,39556
11,SSS0011,21,No,air pods ,8-13,English,,,,SONA for course credit,,No,Female,,8,2-3,"Yes, I do alright",DRUMS,Agree,Strongly Agree,high vs low ,2020-09-23 15:43:41,37276
12,SSS0012,21,Yes,in ear Apple wired headphones,7-11,Spanish,"It's hard to put into words, but sometimes the melodies just felt different. It was very clear when there was a shift from the test melody",,Unknown,SONA for course credit,Chinese,Yes,Male,Sometimes neither option deviated that far away from the test melody. This made it harder to determine which one was a lot different from the test,4,0,No,electronic piano,Strongly Agree,Disagree,I compared the test to the first option. If it sounded really different I knew it was my option,2020-09-28 19:40:50,38684
13,SSS0013,21,No,,,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,0,0,No,,Neither Agree nor Disagree,Strongly Agree,,2020-09-18 16:28:09,39092
14,SSS0014,19,No,in-ear earbuds,10,English,Pitch changes,,Unknown,SONA for course credit,,Yes,Female,,5,4-5,"Yes, I do alright",Piano,Agree,Strongly Agree,I don't have any,2020-09-18 16:58:30,39632
15,SSS0015,19,No,I used Beats Wireless headphones,7-17,English,"I thought I noticed extra notes being played in between the original test melody, to make it more complex",,Unknown,SONA for course credit,,Yes,Female,,7,9+,"Yes, but not so well",violin,Agree,Neither Agree nor Disagree,Tried to memorize the first and last note of the test melody and keep that in my head as the options played,2020-10-02 20:46:51,40140
16,SSS0016,20,No,speakers,,Spanish,tones,,Unknown,SONA for course credit,,No,Female,,4,0,No,,Strongly Agree,Disagree,"Rhythm, tones",2020-09-29 17:51:27,39927
17,SSS0017,20,No,over the ear headphones,12,English,,,,SONA for course credit,,No,Female,,7,0,"Yes, I do alright",guitar,Strongly Agree,Strongly Disagree,none,2020-09-25 18:41:06,39755
18,SSS0018,19,No,AirPod Pro ,,English,,,,SONA for course credit,,No,Male,,0,0,No,,Strongly Agree,Agree,"I started with the first and last sounds, then tried to incorporate some middle sounds in sequence.",2020-09-18 22:17:41,39460
19,SSS0019,20,No,"headphone, in-ear, Apple airpods (the first model)",8-18,Spanish,I focused on rhythm pattern and note changes,,Unknown,SONA for course credit,,Yes,Female,,6,9+,"Yes, I do alright",violin,Strongly Agree,Agree,note changes and sometimes rhythm,2020-09-18 22:39:34,38347
20,SSS0020,23,No,Apple AirPods ,5-16,Other (please specify below):,"any notes that seemed ""off"" or new",,Unknown,SONA for course credit,Bengali,No,Male,,7,0,"Yes, but not so well",Guitar,Agree,Strongly Agree,none,2020-10-12 20:39:13,40152
21,SSS0021,19,No,"yes, earphones",5-16,English,Changes from major key to minor,,Unknown,SONA for course credit,,Yes,Female,,7,6-8,"Yes, I do alright","Piano, Violin",Agree,Disagree,key changes,2020-09-23 20:52:32,39754
22,SSS0022,19,No,in-ear headphones,10-12,English,"the beginning and ending notes and I try to memorize it in twos, like a-b, a-b, a-b, and that helps me to remember the notes better than hearing it as a whole",,Unknown,SONA for course credit,,Yes,Female,,2,2-3,"Yes, I do alright",electric piano and ukulele,Strongly Agree,Agree,the difference with the ranges of each note,2020-09-19 00:24:58,40130
23,SSS0023,18,No,in ear,12,English,,,,SONA for course credit,Korean,No,Female,"I became too angry to focus. I have never been angry at a study before, but this was so frustrating I started shaking after the first ten.",2,0,No,,Strongly Agree,Neither Agree nor Disagree,"I tried recognizing peaks and down at first, but as time went on I became too angry to do that.",2020-10-20 17:14:11,40024
24,SSS0024,21,No,"Headphones, Turtle Beach Ear Force Recon 50",,Other (please specify below):,how high or low particular tones were and if those tones appeared in the comparison melodies.,,Unknown,SONA for course credit,Bengali,Yes,Female,,0,0,No,,Strongly Agree,Strongly Agree,Closing my eyes and listening closely,2020-09-16 16:32:42,38652
25,SSS0025,18,No,apple airpods ,13-18,English,,,,SONA for course credit,,No,Female,,6,4-5,No,piano,Strongly Agree,Agree,none,2020-10-06 23:33:33,39928
26,SSS0026,21,No,in-ear earbuds,12,English,I paid attention to the beginning middle and end of the melody and focused on if it started a specific pitch level and how it fluctuated as the melody played,,Unknown,SONA for course credit,,Yes,Male,,5,1,No,,Strongly Agree,Disagree,Pitches and Tones,2020-09-17 14:12:58,39502
27,SSS0027,21,No,"in-ear, apple wired headphones",8-12,English,I think sometime a note was one step or half a step higher or lower than it should have been.,,Unknown,SONA for course credit,,Yes,Female,went back and forth between interval changes and focusing on feeling,4,4-5,"Yes, but not so well",piano,Agree,Strongly Agree,I was trying to listen to the whole of the test melodies and remember them for comparison.,2020-10-01 10:51:53,37558
28,SSS0028,22,No,"in ear, apple airpods ",15,English,,,,SONA for course credit,,No,Female,,5,1,"Yes, but not so well",piano ,Strongly Agree,Agree,none,2020-09-16 17:54:18,38145
29,SSS0029,18,No,airpods first gen,,Other (please specify below):,rhythm and tone,,Unknown,SONA for course credit,Russian,Yes,Female,,2,0,No,,Agree,Neither Agree nor Disagree,Comparison,2020-10-02 18:54:05,40209
30,SSS0030,19,No,in-ear,8-12,English,"I think sometimes, the some notes were played differently from the original melody.",,Unknown,SONA for course credit,,Yes,Female,"After the second block keeping my eyes closed and turning off the lights did help. In the last block, I tapped keys to help me remember the first melody. I think between the 3rd and 4th I made up some simple dance moves in my head to help me remember what each melody sounded like.",6,4-5,"Yes, I do alright",piano,Strongly Agree,Agree,I imagined the melodies as doodles or sketched them out in my head the way a heart monitor would display a person's heart rate. Closing my eyes and  tapping on a key gently helped discern the melodies too.,2020-09-28 20:57:35,39543
31,SSS0031,20,No,headphone,4-12,Other (please specify below):,the music basically all sound different,,,SONA for course credit,chinese,Yes,Female,,3,6-8,"Yes, I do alright",piano,Strongly Agree,Neither Agree nor Disagree,listen,2020-10-07 05:01:43,39012
32,SSS0032,,No,in-eaer,,English,,,,SONA for payment,,No,Male,,4,0,"Yes, but not so well",piano,Strongly Agree,Strongly Agree,,2020-09-23 17:46:49,39535
33,SSS0033,17,Yes,over-the-ear,8-12,Spanish,,,,SONA for course credit,,No,Female,"Block 3, I started noticing that one option was kind of pitchy and the other had a note which had nothing to do with the original notes",8,4-5,"Yes, I do alright",piano and ukelele,Strongly Agree,Neither Agree nor Disagree,the tone,2020-09-19 11:18:18,39986
34,SSS0034,18,No,in - ear,12-15,Other (please specify below):,If a particular notes is drastically different ,,Unknown,SONA for course credit,Hindi,Yes,Female,,2,2-3,"Yes, but not so well",Piano,Strongly Agree,Neither Agree nor Disagree,,2020-09-19 12:34:32,39838
35,SSS0035,19,No,"in-ear headphones, airpods ",7-14,English,the sharpness or flatness of a note helped me find a difference,,Unknown,SONA for course credit,,Yes,Female,,4,6-8,"Yes, I do alright",piano and trumpet,Strongly Agree,Disagree,"rhythm, correct note, if a note sounded more flat or sharp than the test melody",2020-09-23 17:57:26,39459
36,SSS0036,18,No,in-ear headphones,10-12,English,I listened for major changes in tones,,Unknown,SONA for course credit,,No,Female,,4,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,notice the first and last notes,2020-10-07 12:26:33,39680
37,SSS0037,20,No,in ear,18,Other (please specify below):,,,,SONA for course credit,Chinese,No,Female,,5,1,No,,Strongly Disagree,Neither Agree nor Disagree,,2020-09-16 18:17:52,38038
38,SSS0038,18,No,earphones,5-present,English,the key,,Unknown,SONA for course credit,,Yes,Female,,8,9+,"Yes, I do alright","piano, viola, organ, voice",Strongly Agree,Disagree,my ear,2020-09-16 18:32:42,39979
39,SSS0039,21,No,In ear apple earphones,,English,,,,SONA for course credit,,No,Female,,0,0,No,,Strongly Disagree,Disagree,,2020-09-23 19:08:36,39759
40,SSS0040,18,No,"in-ear, AirPods",12-13,English,,,,SONA for course credit,,No,Female,,3,2-3,"Yes, but not so well",Guitar,Strongly Agree,Agree,"Judging difference between the highest high notes and the lowest low notes, keeping track of how many very high or very low notes there were.",2020-09-16 19:11:01,39889
41,SSS0041,20,No,yes. airpods,,Other (please specify below):,,,,SONA for course credit,Korean,No,Female,,4,0,"Yes, I do alright","piano, violin, guitar",Agree,Strongly Agree,number of high tones,2020-09-16 20:17:03,37831
42,SSS0042,19,No,apple air pods ,13-14,Spanish,,,,SONA for course credit,,No,Female,,1,1,"Yes, but not so well",handbells,Strongly Agree,Neither Agree nor Disagree,closing my eyes and focusing solely on the melody ,2020-09-16 19:49:02,39118
43,SSS0043,19,No,standard issue apple earbuds (plug-in not airpods),9,English,I would sing the test melody to myself while the two options were playing to hear if there were any notes that were higher or lower than the ones from the original,,Unknown,SONA for course credit,Mandarin Chinese,Yes,Female,,6,0,No,Piano,Strongly Agree,Agree,listen to notes that stand out from the rest (either higher or lower),2020-09-25 20:56:01,40191
44,SSS0044,18,No,earphones in-ear.,10-13,English,high tones versus low tones,,Unknown,SONA for course credit,,Yes,Female,,7,2-3,"Yes, I do alright",piano,Strongly Agree,Agree,"look at the first and last note, and notice any unexpected high tones in the middle.",2020-10-01 11:38:54,39680
45,SSS0045,19,No,in-ear,8-11,English,,,,SONA for course credit,,No,Female,,0,0,No,,Strongly Agree,Strongly Agree,,2020-09-25 22:58:03,39921
46,SSS0046,19,No,apple airpods,3-14,English,particular notes stood out,,Unknown,SONA for course credit,,Yes,Female,,10,9+,"Yes, I do alright","piano, violin",Strongly Agree,Disagree,none,2020-09-16 20:25:20,39714
47,SSS0047,18,No,air pods ,7-17,English,,,,SONA for course credit,,No,Female,,8,9+,"Yes, but not so well","piano, guitar",Strongly Agree,Strongly Agree,listening and counting,2020-09-23 19:32:37,40050
48,SSS0048,20,Yes,No,5-19,Other (please specify below):,The melodies and the alternatives rarely differ in the beginning or the end (maybe too noticeable?),,Unknown,SONA for course credit,Chinese,Yes,Female,2,9,6-8,"Yes, I am near professional","Piano, Zhongruan",Strongly Agree,Disagree,focusing on the beginning and ending notes,2020-10-07 15:05:58,39635
49,SSS0049,19,No,"yes, I used airpods (2nd gen)",8,Spanish,some sounds were deeper than in the original test noise,,,SONA for course credit,,Yes,Female,,0,1,No,practiced piano when I was 8 (with a tutor),Strongly Agree,Strongly Agree,tried to listen to the last couple of sounds ,2020-10-17 22:14:47,39208
50,SSS0050,20,Yes,in-ear headphones,12-20 years of age,English,The keys were changing between each melody and there was a slight keynote change in the options,,Unknown,SONA for course credit,Yoruba,Yes,Female,,10,6-8,"Yes, I am near professional",Piano,Strongly Agree,Strongly Disagree,,2020-09-16 23:57:26,39901
51,SSS0051,20,Yes,in-ear apple airpods,5-13,Other (please specify below):,,,,SONA for course credit,"I learned to speak french, english and arabic at the same time so I'm not sure which is the first",No,Female,"I actually used this strategy in the last few blocks, whereas in the first few I only tried to repeat the melody in my head",4,4-5,"Yes, but not so well",Piano ,Agree,Neither Agree nor Disagree,to focus on something distant and try to keep the melody playing in my head,2020-09-17 23:18:58,39870
52,SSS0052,22,No,Headphones ,,Spanish,,,,SONA for course credit,,No,Male,,3,0,No,,Agree,Neither Agree nor Disagree,None ,2020-09-23 20:34:24,34995
53,SSS0053,18,No,in-ear Apple Airpods Pro ,17-18,Other (please specify below):,,,,SONA for course credit,Italian,No,Male,,5,1,"Yes, but not so well",Guitar,Strongly Agree,Strongly Disagree,didn't use any specific strategy ,2020-09-16 21:43:15,39605
54,SSS0054,20,No,in-ear,9-12,English,,,,SONA for course credit,,No,Female,,4,0,No,piano,Agree,Strongly Agree,,2020-09-25 23:53:14,39625
55,SSS0055,18,No,over the ear,,English,if there were higher or lower tuned notes,,Unknown,SONA for course credit,,Yes,Male,,3,2-3,"Yes, I do alright","clarinet, guitar",Agree,Neither Agree nor Disagree,if there were similar tunes and in the same order,2020-09-16 22:15:10,39579
56,SSS0056,20,No,airpods,14-16,English,,,,SONA for course credit,,No,Female,,3,2-3,"Yes, but not so well",guitar,Strongly Agree,Agree,high and low tones,2020-09-19 13:05:06,39657
57,SSS0057,19,No,"In-ear, Jabra earbuds",,English,I focused on different parts/tunes in the music and figured if they matched.,,Unknown,SONA for course credit,,Yes,Male,,3,0,"Yes, but not so well",Keyboard,Strongly Agree,Agree,I tried to follow major tunes across the melodies and figure if they matched.,2020-09-19 13:25:53,39695
58,SSS0058,19,No,I used Samsung Wired AKG earphones for the Samsung S10.,"I love to listen to music, but I never had formal training for any instrument.",Other (please specify below):,"Some of the melodies are either out of tune, or too high on a pitch or too low than the original.",,Unknown,SONA for course credit,Tagalog,Yes,Female,,2,0,"Yes, but not so well",Piano and the Lyre,Strongly Agree,Disagree,The strategy I used this time around was to close my eyes to focus even more on what I'm hearing.,2020-09-16 22:52:54,39620
59,SSS0059,19,No,in ear head phones ,14-18,English,"If i heard a change in tone, such as a flat or sharp note then I would recognize the difference",,,SONA for course credit,Telugu,Yes,Female,,10,4-5,"Yes, but not so well",Piano,Strongly Agree,Strongly Disagree,"The differences in individual notes, and also tapping my feet with each note helped me to remember each tone.",2020-09-25 23:50:10,39853
60,SSS0060,18,Yes,speakers,11-17,English,the highest and lowest notes as well as particularly significant chromatic notes stuck out to me. Melodies which seemed to be in one key were easier to judge also,,Unknown,SONA for course credit,,Yes,Male,"My strategy developed gradually, but if I had to pinpoint, I would say around the 4th block. This is when I began to focus more on key/chromatic notes",7,6-8,"Yes, I do alright","clarinet, tenor saxophone",Strongly Agree,Agree,"I would nod along to the test melodies. If I noticed something in the first choice and wasn't sure if it was a difference, I would attempt to confirm it in the second. Other than that, my strategy mostly entailed ""feeling it out""",2020-10-12 19:39:26,40068
61,SSS0061,18,Yes,"headphones, in-ear, older? apple earbuds",14,English,i felt sometimes i recognized parts of the melody changed key or a series of notes were raised/lowered by half a note,,Unknown,SONA for course credit,,Yes,Other,i don't remember,5,1,"Yes, but not so well",violin,Strongly Agree,Strongly Agree,"looking at it holistically, rather than which one had more notes with drastically different pitches from the original",2020-09-17 01:11:06,39461
62,SSS0062,21,No,headphones,"4-14, 19-20",English,Many times when a note was flat or sharp it helped in discriminating the melody.,,Unknown,SONA for course credit,,No,Female,I started the strategy stated around block 5. Prior to that I was doing it without any strategy.,5,0,"Yes, I do alright","ukulele, piano",Agree,Neither Agree nor Disagree,changes in tone (higher/lower),2020-10-01 14:50:14,36029
63,SSS0063,18,No,earphones,5-present,English,key changes,,Unknown,SONA for course credit,,Yes,Female,,7,9+,"Yes, I do alright","piano, viola, organ, voice",Strongly Agree,Disagree,ear,2020-09-30 23:12:51,39979
64,SSS0064,18,No,"in-ear, samsung wireless headphones",,English,,,,SONA for course credit,,No,Female,,3,0,"Yes, but not so well",guitar,Agree,Strongly Agree,by ear,2020-09-17 00:58:42,38119
65,SSS0065,19,No,yes in-ear apple earphones,7-10,English,Yes if I heard discordant notes I winced are marked those down,,Unknown,SONA for course credit,Russian,Yes,Female,,4,2-3,No,"piano, violin, flute, drums, ukulele",Agree,Disagree,I followed the general emotion each melody gave me,2020-10-05 11:02:45,39497
66,SSS0066,18,No,earphones aka airpods,10-5,English,I just noticed the pattern and based it off that,,Unknown,SONA for course credit,,No,Male,,8,0,No,Piano,Strongly Agree,Strongly Agree,focusing on where and how the high notes hit mostly,2020-09-26 12:42:27,39526
67,SSS0067,19,No,Headphones,,Other (please specify below):,I tried to remember the beginning and end of the melody and thought I'd intuitively remember any deeper notes in the middle,,Unknown,SONA for course credit,Bengali,Yes,Female,,5,0,No,,Strongly Agree,Neither Agree nor Disagree,Tried to remember parts of the test melody,2020-09-22 12:37:52,37785
68,SSS0068,21,No,"in ear headphones, apple headphones ",15-17,English,There would be certain melodies that would go somewhat completely against the test melody by going too high or low,,Unknown,SONA for course credit,,Yes,Male,,8,2-3,"Yes, I do alright",drums,Strongly Agree,Strongly Disagree,to see if the general notes were the same,2020-09-22 13:37:42,39771
69,SSS0069,20,No,in-ear earbuds,,English,I tried to split the melody into segments and listened for pitch changes in the notes.,,Unknown,SONA for course credit,,Yes,Female,,3,0,No,,Strongly Agree,Disagree,I listened to the general pitches of the notes.,2020-09-19 14:34:17,39485
70,SSS0070,21,No,headphones in-ear,16,English,some notes were higher or lower,,Unknown,SONA for course credit,,Yes,Female,,3,1,"Yes, but not so well",piano,Strongly Agree,Strongly Disagree,none,2020-09-17 02:43:51,40034
71,SSS0071,19,No,Apple earpods,10-12,English,Change in pitch or number of beats,,Unknown,SONA for course credit,,Yes,Male,,3,2-3,"Yes, but not so well","Acoustic guitar, piano",Agree,Strongly Agree,"Simply sounding ""off"" to me",2020-09-17 04:35:58,39507
72,SSS0072,19,No,airpods ,,Spanish,,,,SONA for course credit,,No,Female,,4,0,"Yes, but not so well",Guitar and uquelele,Agree,Disagree,close my eyes and picture the melody,2020-09-26 13:43:18,39855
73,SSS0073,17,No,macbook speakers in a quiet room ,8-12,English,,,,SONA for course credit,,No,Female,,2,4-5,No,,Strongly Agree,Disagree,pitch ,2020-09-17 11:27:02,40113
74,SSS0074,21,No,in-ear wired apple earbuds,7-15,Other (please specify below):,"some sounded more melodic and repeated several same notes, while others were random and had many big jumps",,Unknown,SONA for course credit,Mandarin,Yes,Male,,9,6-8,"Yes, I do alright","Violin, piano",Strongly Agree,Strongly Agree,"triads, scales, and whether notes were flat",2020-09-19 15:29:15,40020
75,SSS0075,19,No,,,Other (please specify below):,,,,SONA for course credit,Chinese,Yes,Female,,2,6-8,"Yes, I do alright",,Agree,Agree,,2020-09-17 15:36:33,39859
76,SSS0076,21,No,in-ear,,English,,,,SONA for course credit,,No,Female,,2,0,"Yes, but not so well",Saxophone,Strongly Agree,Strongly Disagree,,2020-09-17 12:22:33,39516
77,SSS0077,21,Yes,in ear headphones,14-17,English,one off note in the melody that indicated it was different,,,SONA for course credit,,Yes,Female,i didnt realize / wasnt focused enough til the last block when i noted and used this strategy of listening for one off note,9,2-3,"Yes, I do alright","guirar, piano, vocals",Strongly Agree,Disagree,"embarrassed to say i didnt catch on til the last block, but there's one note that doesnt fit with the rest. in fact it doesnt even really matter what the originally melody was, as long as you hear that one off note.",2020-09-22 14:18:08,39102
78,SSS0078,19,No,in-ear apple headphones ,middle school ,English,,,,SONA for course credit,,No,Female,,5,2-3,No,,Agree,Neither Agree nor Disagree,compare the last notes of the melody ,2020-09-22 15:01:04,39649
79,SSS0079,18,Yes,"Headphones, over-ear, Beats Solo",10-16,English,I mostly chose songs that I thought had out of place notes or notes that were too high/low.,,Unknown,SONA for course credit,,Yes,Male,Sometimes I was unable to discern and chose what I thought sounded the most different overall.,4,6-8,"Yes, I do alright",Piano and Guitar,Strongly Agree,Agree,I tried to listen for notes that were too high or too low,2020-09-17 13:07:11,39967
80,SSS0080,21,No,Over-the-ear,10-18,English,I noticed there often was a different note prior to a high note,,Unknown,SONA for course credit,,Yes,Male,,7,6-8,"Yes, I do alright",Trumpet,Strongly Agree,Agree,"I listened for any out of tune notes, followed by which of the 2nd and 3rd melodies sounded more ""right""",2020-09-17 13:11:37,39752
81,SSS0081,19,No,I used in-ear headphones,,English,Specifically the changes in a lower or higher pitch allowed me to notice the differences,,Unknown,SONA for course credit,,Yes,Female,,7,0,No,,Strongly Agree,Strongly Disagree,I paid attention to the beat patterns as well as changes in pitch,2020-09-17 12:23:16,39674
82,SSS0082,19,No,airpods pro,7-19,English,,,,SONA for course credit,,No,Female,,10,9+,"Yes, I do alright",piano,Strongly Agree,Agree,just listening with thought of scales,2020-09-17 12:41:13,39807
83,SSS0083,18,No,in-ear,,English,"in the other options parts of the melodies would be played in a different key, changes or deleted.",,Unknown,SONA for course credit,,Yes,Female,,6,0,"Yes, but not so well",piano,Strongly Agree,Strongly Disagree,close my eyes and tryinh to relate the melody to a familiar tune to help in memorizing it.,2020-09-19 15:47:44,40041
84,SSS0084,20,No,headphones,10,Other (please specify below):,cresendo and decresendo,,,Other,chinese,Yes,Female,,1,1,"Yes, but not so well",piano,Agree,Disagree,,2020-09-22 15:16:13,40173
85,SSS0085,19,No,in-ear earbuds,10-18,English,a difference in pitch/key,,Unknown,SONA for course credit,,Yes,Female,,6,6-8,"Yes, I do alright","piano, cello, percussion drums",Agree,Disagree,"change in pitch, off key notes",2020-10-20 21:54:22,39769
86,SSS0086,19,No,Jabra earbuds,,English,,,,SONA for course credit,,No,Male,,2,0,"Yes, but not so well",Keyboard,Strongly Agree,Neither Agree nor Disagree,See if main parts of the melodies matched,2020-09-22 15:55:45,39695
87,SSS0087,19,Yes,headphones (in ear),5-18,Other (please specify below):,some keys,,Unknown,SONA for course credit,Chinese,Yes,Female,hard to notice,7,6-8,"Yes, but not so well",piano,Agree,Neither Agree nor Disagree,sing out,2020-09-17 13:27:53,40102
88,SSS0088,21,No,in ear,,English,,,,SONA for course credit,,No,Female,,2,0,"Yes, but not so well",Saxophone ,Strongly Agree,Strongly Disagree,Tried to listen for whether or not there were slight changes in the note played,2020-09-23 21:01:40,39516
89,SSS0089,19,No,in ear,,Spanish,,,,SONA for course credit,,No,Female,,5,0,No,,Strongly Agree,Agree,Hearing the beat and sounds,2020-10-29 21:50:34,39854
90,SSS0090,27,No,in-ear,10,Other (please specify below):,"I mostly look for outlier notes (notes that are different from the sample melody), or I sometimes I'll listen to the difference among the melodic progressions",,Unknown,SONA for course credit,Korean,No,Male,,2,2-3,"Yes, but not so well",clarinet,Strongly Agree,Strongly Agree,change in pitch,2020-10-18 09:16:23,39948
91,SSS0091,18,No,in-ear headphones (airpods),8-12,English,,,,SONA for course credit,,No,Female,,8,4-5,"Yes, I do alright","viola, piano, flute",Strongly Agree,Strongly Disagree,note change,2020-09-23 20:10:21,39604
92,SSS0092,20,No,Headphone - Apple airpods,,Other (please specify below):,different pitches and melodies ,,Unknown,SONA for course credit,Hebrew,Yes,Male,,3,0,No,,Strongly Agree,Strongly Disagree,Repeat the beats in my head,2020-10-12 20:58:54,40240
93,SSS0093,20,No,headphones,10,Other (please specify below):,the crescendo and decrescendo in music ,,Unknown,Other,chinese,No,Female,,1,1,"Yes, but not so well",piano,Agree,Disagree,crescendo and decresendo,2020-09-21 14:20:45,40173
94,SSS0094,21,No,Over-the-ear headphones ,6-18,Other (please specify below):,,,,SONA for course credit,French,No,Female,,7,9+,"Yes, I do alright",Piano,Agree,Neither Agree nor Disagree,listening attentively ,2020-09-19 18:11:40,40077
95,SSS0095,18,No,over the ear headphones,14-17,English,only a few off tune notes,,,SONA for course credit,,Yes,Male,,3,2-3,"Yes, I do alright","Clarinet, guiatr",Agree,Agree,To find flat or sharper notes than the others,2020-10-01 17:05:54,39579
96,SSS0096,19,No,through airpods (newest version),,English,"Though i am not musically experienced, I often notice the shifts in songs. For example how the music changes when reaching the chorus orbridge. ",,Unknown,SONA for course credit,,Yes,Female,,7,0,No,,Agree,Agree,,2020-09-19 22:06:06,40000
97,SSS0097,19,No,"In-ear headphones, Airpod Pro (most recent version)",5-14,English,"The beginning of Options 1 and 2 always sounded the same as the test melody, so I focused on the latter parts of the melodies.",,Unknown,SONA for course credit,,Yes,Female,,6,9+,"Yes, I do alright","Piano, Ukulele",Strongly Agree,Neither Agree nor Disagree,I tried to follow how the patterns in terms of how high or low the notes were.,2020-09-19 22:16:48,40156
98,SSS0098,20,Yes,"earphones, in-ear, Samsung",12,English,"There were some obvious wrong notes, which made the triplet-chords sound different",,Unknown,SONA for course credit,,Yes,Male,"I started with listening to triplets around mid-block 1, then changed to broken chords around mid-block 7",5,1,"Yes, I do alright",Piano,Strongly Agree,Agree,I listened to each melody in triplets and broken chords,2020-09-17 14:44:55,39894
