,subject,set,understood task,response,button_bias_Z,rt set,rt shifted,rt swapped,rt neither,rt shifted-swapped,rt shifted:swapped,length,# shifted,# swapped,# neither,# 1st button,# 2nd button,# neither button,# 1st button (task),# 2nd button (task),# neither button (task),# button presses (task),# trials,# button presses,# no_neither_trials,rate shifted,rate swapped,rate neither,rate pressed 1st,rate pressed 2nd,rate pressed neither,rate pressed 1st (task),rate pressed 2nd (task),rate pressed neither (task),rate_NN_shifted,rate_NN_swapped,rate shifted - rate swapped,rate shifted - rate swapped (NN),Unnamed: 0,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
10,S1C0809,chromatic,True,BBAAAABAABBBAABBAABBBAAABABABBBBABBBAABBAABBBBBBBABBBABAABABBBAABBAAAABBBBBBABABAAAABBBBBBBABBBBAAAB,-1.325890979043571,902.1499999985099,1036.4499999955297,745.2000000029802,916.5,291.2499999925494,1.390834675243404,8.0,30,21,9.0,19,32,9.0,41,59,20.0,120.0,60.0,60.0,51.0,0.5,0.35,0.15,0.31666666666666665,0.5333333333333333,0.15,0.3416666666666667,0.49166666666666664,0.16666666666666666,0.5882352941176471,0.4117647058823529,0.15000000000000002,0.17647058823529416,7,19.0,Yes,"In-ear, AirPods Pro",8-18,Other (please specify below):,I listened closely to the melody and tried to identify a difference in the melodies based on the notes being played.,SONA for course credit,Russian,Yes,Female,"Throughout the experiment, I came to realize that Option 1 and Option 2 would sometimes have the same amount of notes changed from the original test melody but they were different pitches. Thus, I then focused on which one sounded most different melodically.",8,9+,"Yes, I am near professional",Piano,Strongly Agree,Neither Agree nor Disagree,I tried to memorize the test melody in my head and hum it along with each option to compare ,2021-09-06 15:44:26,41416
11,S1C0809,diatonic,True,BBAAAABAABBBAABBAABBBAAABABABBBBABBBAABBAABBBBBBBABBBABAABABBBAABBAAAABBBBBBABABAAAABBBBBBBABBBBAAAB,-1.325890979043571,920.6000000014901,595.6500000059605,922.0,1964.5999999940395,-326.34999999403954,0.646041214757007,8.0,32,17,11.0,22,27,11.0,41,59,20.0,120.0,60.0,60.0,49.0,0.5333333333333333,0.2833333333333333,0.18333333333333332,0.36666666666666664,0.45,0.18333333333333332,0.3416666666666667,0.49166666666666664,0.16666666666666666,0.6530612244897959,0.3469387755102041,0.25,0.3061224489795918,7,19.0,Yes,"In-ear, AirPods Pro",8-18,Other (please specify below):,I listened closely to the melody and tried to identify a difference in the melodies based on the notes being played.,SONA for course credit,Russian,Yes,Female,"Throughout the experiment, I came to realize that Option 1 and Option 2 would sometimes have the same amount of notes changed from the original test melody but they were different pitches. Thus, I then focused on which one sounded most different melodically.",8,9+,"Yes, I am near professional",Piano,Strongly Agree,Neither Agree nor Disagree,I tried to memorize the test melody in my head and hum it along with each option to compare ,2021-09-06 15:44:26,41416
12,S1C0810,chromatic,True,BBABBABBBAABBABBAABAABAAABBBBBBBABBAABABAABBBBBBBBBABABBBBBBABAABABBABABABBABAABBABBABBAABABBBBABABBAABBBABBABABBBBABB,1.865194881458687,513.25,504.25,499.25,3655.9999998807907,5.0,1.0100150225338007,8.0,14,44,2.0,18,40,2.0,43,75,2.0,120.0,60.0,60.0,58.0,0.23333333333333334,0.7333333333333333,0.03333333333333333,0.3,0.6666666666666666,0.03333333333333333,0.35833333333333334,0.625,0.016666666666666666,0.2413793103448276,0.7586206896551724,-0.49999999999999994,-0.5172413793103448,8,19.0,No,SPEAKER,,Chinese (Mandarin),one part of music was changed,SONA for course credit,,Yes,Male,,4,0,No,,Agree,Agree,remember.,2021-09-15 11:40:48,41444
13,S1C0810,diatonic,True,BBABBABBBAABBABBAABAABAAABBBBBBBABBAABABAABBBBBBBBBABABBBBBBABAABABBABABABBABAABBABBABBAABABBBBABABBAABBBABBABABBBBABB,1.865194881458687,743.2999999523163,965.5999999046326,728.0999999046326,0.0,237.5,1.32619145726014,8.0,19,41,0.0,25,35,0.0,43,75,2.0,120.0,60.0,60.0,60.0,0.31666666666666665,0.6833333333333333,0.0,0.4166666666666667,0.5833333333333334,0.0,0.35833333333333334,0.625,0.016666666666666666,0.31666666666666665,0.6833333333333333,-0.3666666666666667,-0.3666666666666667,8,19.0,No,SPEAKER,,Chinese (Mandarin),one part of music was changed,SONA for course credit,,Yes,Male,,4,0,No,,Agree,Agree,remember.,2021-09-15 11:40:48,41444
14,S1C0811,chromatic,True,BABABBABABBBBAABBBAABBBBBBBABABBBBABBABBBAAABBAABBABABBBBBBABBBBBBBBBAABBAABBBAABBBBBAABAAAAABBBABAABBABABBABBA,-0.03543130648815403,1057.7000000476837,1164.7000000476837,1015.4000000953674,1567.3000000715256,149.29999995231628,1.147035650914215,8.0,21,33,6.0,17,37,6.0,40,71,9.0,120.0,60.0,60.0,54.0,0.35,0.55,0.1,0.2833333333333333,0.6166666666666667,0.1,0.3333333333333333,0.5916666666666667,0.075,0.3888888888888889,0.6111111111111112,-0.20000000000000007,-0.22222222222222227,9,21.0,No,"Yes, in-ear",6-10years old,Chinese (Mandarin),Sometimes it is a switch of different keys; sometimes it is down / up a key,SONA for course credit,,Yes,Female,,7,4,"Yes, I do alright",Piano,Strongly Agree,Disagree,the tones,2021-09-15 11:57:04,41788
15,S1C0811,diatonic,True,BABABBABABBBBAABBBAABBBBBBBABABBBBABBABBBAAABBAABBABABBBBBBABBBBBBBBBAABBAABBBAABBBBBAABAAAAABBBABAABBABABBABBA,-0.03543130648815403,992.25,782.1999999284744,1648.6500000357628,873.5999999046326,-866.4500001072884,0.47444879138174073,8.0,43,14,3.0,23,34,3.0,40,71,9.0,120.0,60.0,60.0,57.0,0.7166666666666667,0.23333333333333334,0.05,0.38333333333333336,0.5666666666666667,0.05,0.3333333333333333,0.5916666666666667,0.075,0.7543859649122807,0.24561403508771928,0.48333333333333334,0.5087719298245614,9,21.0,No,"Yes, in-ear",6-10years old,Chinese (Mandarin),Sometimes it is a switch of different keys; sometimes it is down / up a key,SONA for course credit,,Yes,Female,,7,4,"Yes, I do alright",Piano,Strongly Agree,Disagree,the tones,2021-09-15 11:57:04,41788
16,S1C0812,chromatic,True,BBBABABBABABBABBAAAAABBAAAABBBABBAAAABBABBAABAABBBBABBAABAAAABABBBAAAAABABABAABAAAABAAAAABBAABA,0.028617778721834224,1353.199999988079,1046.75,1191.800000011921,2103.7000000476837,-145.05000001192093,0.878293337799572,8.0,8,36,13.0,26,18,13.0,53,42,22.0,117.0,57.0,57.0,44.0,0.14035087719298245,0.631578947368421,0.22807017543859648,0.45614035087719296,0.3157894736842105,0.22807017543859648,0.452991452991453,0.358974358974359,0.18803418803418803,0.18181818181818182,0.8181818181818182,-0.49122807017543857,-0.6363636363636365,10,18.0,No,In-ear headphone,16,Chinese (Mandarin),The rhythm.,SONA for course credit,,Yes,Male,,7,2,No,,Agree,Neither Agree nor Disagree,Judge the ups and downs of musical rhythm. ,2021-09-15 12:01:42,41505
17,S1C0812,diatonic,True,BBBABABBABABBABBAAAAABBAAAABBBABBAAAABBABBAABAABBBBABBAABAAAABABBBAAAAABABABAABAAAABAAAAABBAABA,0.028617778721834224,1262.25,1571.25,1098.8999999761581,1740.7999999523163,472.35000002384186,1.4298389298699519,8.0,20,31,9.0,27,24,9.0,53,42,22.0,117.0,60.0,60.0,51.0,0.3333333333333333,0.5166666666666667,0.15,0.45,0.4,0.15,0.452991452991453,0.358974358974359,0.18803418803418803,0.39215686274509803,0.6078431372549019,-0.1833333333333334,-0.21568627450980388,10,18.0,No,In-ear headphone,16,Chinese (Mandarin),The rhythm.,SONA for course credit,,Yes,Male,,7,2,No,,Agree,Neither Agree nor Disagree,Judge the ups and downs of musical rhythm. ,2021-09-15 12:01:42,41505
18,S1C0813,chromatic,True,BAABBBABBBBABBBBBBBBBABAAAAAABABABBBABBABBBBABABBBABBABBBABBBBBBBBBBBBBBBBBA,-0.40410006716362357,1064.0,777.0999999996275,1057.2000000011176,1647.2000000001863,-280.1000000014901,0.7350548618982273,8.0,17,21,20.0,10,28,20.0,21,55,42.0,118.0,58.0,58.0,38.0,0.29310344827586204,0.3620689655172414,0.3448275862068966,0.1724137931034483,0.4827586206896552,0.3448275862068966,0.17796610169491525,0.4661016949152542,0.3559322033898305,0.4473684210526316,0.5526315789473685,-0.06896551724137934,-0.10526315789473689,11,19.0,No,in the ear,,English,high and low pitches ,SONA for course credit,,Yes,Female,,0,0,No,,Strongly Agree,Strongly Disagree,"focus, finger taps",2021-09-15 12:09:49,41857
19,S1C0813,diatonic,True,BAABBBABBBBABBBBBBBBBABAAAAAABABABBBABBABBBBABABBBABBABBBABBBBBBBBBBBBBBBBBA,-0.40410006716362357,1360.3999999994412,1143.1000000005588,1362.7499999990687,1624.5499999998137,-219.64999999850988,0.8388185654018272,8.0,26,12,22.0,11,27,22.0,21,55,42.0,118.0,60.0,60.0,38.0,0.43333333333333335,0.2,0.36666666666666664,0.18333333333333332,0.45,0.36666666666666664,0.17796610169491525,0.4661016949152542,0.3559322033898305,0.6842105263157895,0.3157894736842105,0.23333333333333334,0.368421052631579,11,19.0,No,in the ear,,English,high and low pitches ,SONA for course credit,,Yes,Female,,0,0,No,,Strongly Agree,Strongly Disagree,"focus, finger taps",2021-09-15 12:09:49,41857
20,S1C0814,chromatic,True,BABBBBBBBAAAABABABABBBBABBBBBBBABBABBABABABBAAABBABBBBBAABBBBBBBAAABABABBBBBBBBBBA,-0.13167486954376256,1093.9000000953674,702.2999999523163,477.4999998807907,1636.9499999284744,224.80000007152557,1.4707853405814608,8.0,13,26,20.0,8,31,20.0,26,56,37.0,119.0,59.0,59.0,39.0,0.22033898305084745,0.4406779661016949,0.3389830508474576,0.13559322033898305,0.5254237288135594,0.3389830508474576,0.2184873949579832,0.47058823529411764,0.31092436974789917,0.3333333333333333,0.6666666666666666,-0.22033898305084745,-0.3333333333333333,12,19.0,Yes,one right side air pod,11-18,Chinese (Mandarin),the rythmn,SONA for course credit,,Yes,Female,"block 5, the pieces are becoming very similar",7,7,"Yes, I do alright",piano,Strongly Agree,Disagree,,2021-09-15 12:09:24,41442
21,S1C0814,diatonic,True,BABBBBBBBAAAABABABABBBBABBBBBBBABBABBABABABBAAABBABBBBBAABBBBBBBAAABABABBBBBBBBBBA,-0.13167486954376256,955.9999998807907,844.3999998569489,526.4500000476837,1889.5999999046326,317.94999980926514,1.603950992079906,8.0,29,14,17.0,18,25,17.0,26,56,37.0,119.0,60.0,60.0,43.0,0.48333333333333334,0.23333333333333334,0.2833333333333333,0.3,0.4166666666666667,0.2833333333333333,0.2184873949579832,0.47058823529411764,0.31092436974789917,0.6744186046511628,0.32558139534883723,0.25,0.34883720930232553,12,19.0,Yes,one right side air pod,11-18,Chinese (Mandarin),the rythmn,SONA for course credit,,Yes,Female,"block 5, the pieces are becoming very similar",7,7,"Yes, I do alright",piano,Strongly Agree,Disagree,,2021-09-15 12:09:24,41442
22,S1C0816,chromatic,True,ABABAAABBBBBBABBBBAABBBABBBBABBBBABBABBBBABBAABAAABBBABBBBABBAABBBABBBBAAAABAAAAAAAABABBBBABAAAAAABBBBABABBBBAABBBBABAB,-1.2635524254306698,488.59999990463257,908.4499999880791,408.60000002384186,0.0,499.8499999642372,2.223323543649219,8.0,18,41,0.0,24,35,0.0,49,70,0.0,119.0,59.0,59.0,59.0,0.3050847457627119,0.6949152542372882,0.0,0.4067796610169492,0.5932203389830508,0.0,0.4117647058823529,0.5882352941176471,0.0,0.3050847457627119,0.6949152542372882,-0.3898305084745763,-0.3898305084745763,13,19.0,Yes,Apple earbuds that came with my iPhone 6S in 2016,7-18,English,I noticed the two main variations were changing the order of some notes or using a flat or sharp of a note from the test music,SONA for course credit,,Yes,Female,"Around Block 3, I started choosing the options that had a greater number of variations even though the general sound of the other option was very different due to a flat or sharp. In Block 5, I changed back to selecting the options that had more sharps/flats.",7,9+,"Yes, I do alright",Guitar and piano,Strongly Agree,Disagree,I looked for as few variations as possible,2021-09-15 19:27:42,41639
23,S1C0816,diatonic,True,ABABAAABBBBBBABBBBAABBBABBBBABBBBABBABBBBABBAABAAABBBABBBBABBAABBBABBBBAAAABAAAAAAAABABBBBABAAAAAABBBBABABBBBAABBBBABAB,-1.2635524254306698,471.64999997615814,511.10000002384186,401.2000000476837,0.0,109.89999997615814,1.2739282152619547,8.0,23,37,0.0,25,35,0.0,49,70,0.0,119.0,60.0,60.0,60.0,0.38333333333333336,0.6166666666666667,0.0,0.4166666666666667,0.5833333333333334,0.0,0.4117647058823529,0.5882352941176471,0.0,0.38333333333333336,0.6166666666666667,-0.23333333333333334,-0.23333333333333334,13,19.0,Yes,Apple earbuds that came with my iPhone 6S in 2016,7-18,English,I noticed the two main variations were changing the order of some notes or using a flat or sharp of a note from the test music,SONA for course credit,,Yes,Female,"Around Block 3, I started choosing the options that had a greater number of variations even though the general sound of the other option was very different due to a flat or sharp. In Block 5, I changed back to selecting the options that had more sharps/flats.",7,9+,"Yes, I do alright",Guitar and piano,Strongly Agree,Disagree,I looked for as few variations as possible,2021-09-15 19:27:42,41639
24,S1C0817,chromatic,True,ABBAABBABBABABBBBBBABBBBBABBBAAABBAABBBBABBBABABBABBABABABBABABBBABABABBA,2.1925032970939773,1216.1999999955297,1037.1000000014901,1188.2000000029802,1404.0,-151.10000000149012,0.8728328564205428,8.0,16,17,25.0,12,21,25.0,26,47,45.0,118.0,58.0,58.0,33.0,0.27586206896551724,0.29310344827586204,0.43103448275862066,0.20689655172413793,0.3620689655172414,0.43103448275862066,0.22033898305084745,0.3983050847457627,0.3813559322033898,0.48484848484848486,0.5151515151515151,-0.017241379310344807,-0.030303030303030276,14,19.0,Yes,"Apple Airpod Pro, in-ear, with noise cancellation",10-14,English,"I would try to find parts of the melody that was ""identifiable""",SONA for course credit,,Yes,Female,"It differed, I tried to listen for certain points that would help me identify the melody or I would listen for odd notes out",4,4,No,,Strongly Agree,Agree,Different notes and ups and down of them,2021-09-15 18:21:41,41613
25,S1C0817,diatonic,True,ABBAABBABBABABBBBBBABBBBBABBBAAABBAABBBBABBBABABBABBABABABBABABBBABABABBA,2.1925032970939773,1115.2000000029802,779.4000000059605,1126.7000000029802,1651.5,-347.29999999701977,0.6917546818176079,8.0,25,15,20.0,14,26,20.0,26,47,45.0,118.0,60.0,60.0,40.0,0.4166666666666667,0.25,0.3333333333333333,0.23333333333333334,0.43333333333333335,0.3333333333333333,0.22033898305084745,0.3983050847457627,0.3813559322033898,0.625,0.375,0.16666666666666669,0.25,14,19.0,Yes,"Apple Airpod Pro, in-ear, with noise cancellation",10-14,English,"I would try to find parts of the melody that was ""identifiable""",SONA for course credit,,Yes,Female,"It differed, I tried to listen for certain points that would help me identify the melody or I would listen for odd notes out",4,4,No,,Strongly Agree,Agree,Different notes and ups and down of them,2021-09-15 18:21:41,41613
26,S1C0819,chromatic,True,BABBABABBBBBBAAAAAABBBAABABBABBBAABBBBBABAABABAABABBABABAABBABBBABBABBABABABBBBAAAABBABABAAABBBBBABAAABBAABBBAABAB,1.1195371484066197,645.0499999998137,750.0,623.7000000011176,1029.4000000003725,126.29999999888241,1.2025012024990478,8.0,15,42,1.0,26,31,1.0,50,64,4.0,118.0,58.0,58.0,57.0,0.25862068965517243,0.7241379310344828,0.017241379310344827,0.4482758620689655,0.5344827586206896,0.017241379310344827,0.423728813559322,0.5423728813559322,0.03389830508474576,0.2631578947368421,0.7368421052631579,-0.46551724137931033,-0.47368421052631576,15,20.0,No,Apple earphones (in-ear) ,11-13,Other (please specify below):,,SONA for course credit,Arabic,Yes,Female,,4,2,"Yes, but not so well","Piano, guitar",Agree,Agree,,2021-09-15 19:30:23,41819
27,S1C0819,diatonic,True,BABBABABBBBBBAAAAAABBBAABABBABBBAABBBBBABAABABAABABBABABAABBABBBABBABBABABABBBBAAAABBABABAAABBBBBABAAABBAABBBAABAB,1.1195371484066197,895.7999999998137,760.0,927.6500000003725,7067.5,-167.65000000037253,0.8192745108604482,8.0,29,28,3.0,24,33,3.0,50,64,4.0,118.0,60.0,60.0,57.0,0.48333333333333334,0.4666666666666667,0.05,0.4,0.55,0.05,0.423728813559322,0.5423728813559322,0.03389830508474576,0.5087719298245614,0.49122807017543857,0.016666666666666663,0.01754385964912286,15,20.0,No,Apple earphones (in-ear) ,11-13,Other (please specify below):,,SONA for course credit,Arabic,Yes,Female,,4,2,"Yes, but not so well","Piano, guitar",Agree,Agree,,2021-09-15 19:30:23,41819
28,S1C0820,chromatic,True,ABABBBBBAABBABBBBBBABBAABAAABBBBABBAABAABBBABBABBAABABBBBABAABBBBABAAABBBB,0.0471164850122203,2148.85000000149,1700.0,1439.5,3482.3999999910593,260.5,1.1809656130600903,8.0,15,26,17.0,13,28,17.0,28,46,44.0,118.0,58.0,58.0,41.0,0.25862068965517243,0.4482758620689655,0.29310344827586204,0.22413793103448276,0.4827586206896552,0.29310344827586204,0.23728813559322035,0.3898305084745763,0.3728813559322034,0.36585365853658536,0.6341463414634146,-0.1896551724137931,-0.2682926829268293,16,18.0,No,in-ear,16,Chinese (Mandarin),,SONA for course credit,,No,Female,,1,1,"Yes, but not so well",violin,Agree,Neither Agree nor Disagree,,2021-09-18 18:07:43,41508
