,subject,subject_age,Did this strategy change throughout the task?,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,Did you notice any change in the music? Elaborate,How did you arrive at this experiment?,What is your first language (if other)?,"Did you notice any particular changes in the music? In other words, did you base your discriminations on specific features of the melodies?",subject_gender,How did your strategy change throughout the task?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona
30,BPB0039,19,No,Airpod ,8,Other (please specify below):,There were time when the note got high ,SONA for course credit,Korean,Yes,Female,,7,6-8,"Yes, I am near professional",violin,Agree,Agree,rhythm,2024-12-08 02:26:17,48057
31,BPB0040,18,No,in-ear,,Other (please specify below):,,SONA for course credit,chinese,No,Female,,0,0,No,,Disagree,Agree,none,2024-12-08 04:07:39,47548
32,BPB0041,19,No,"over the ear headphones, razer kraken cat headphones",10-18,English,different notes,SONA for course credit,,Yes,Female,,2,6-8,"Yes, I do alright","Violin, Viola",Strongly Agree,Agree,feeling,2024-12-08 04:21:59,47581
33,BPB0042,19,Yes,headphones,6-7,English,I heard different pitches,SONA for course credit,,Yes,Female,2/3,2,2-3,"Yes, but not so well",piano,Agree,Agree,tones and beats,2024-12-08 12:28:24,47798
34,BPB0043,19,No,over the ear headphones bose brand,5-19,English,,SONA for course credit,,No,Female,,10,9+,"Yes, I am near professional","violin, piano",Strongly Agree,Agree,couting how many notes and singing the original melody while the other options were playing,2024-12-08 11:46:53,48067
35,BPB0047,20,No,I used noise cancelling earbuds ,8-11,English,keys were slightly different,SONA for course credit,,Yes,Male,,5,2-3,"Yes, but not so well",piano ,Agree,Neither Agree nor Disagree,patterns,2024-12-08 16:50:02,47053
36,BPB0049,20,No,In ear headphones.,4-20,English,,SONA for course credit,,No,Male,,7,9+,"Yes, I do alright",Piano,Strongly Agree,Agree,Look for difference in notes. Also instinctual,2024-12-08 17:33:40,46360
37,BPB0054,19,No,in ear,10-14,English,some notes were significantly higher,SONA for course credit,,Yes,Male,,7,4-5,"Yes, I do alright",clarinet,Strongly Agree,Agree,noticing length and outlying pitches,2024-12-08 19:55:06,48013
38,BPB0055,23,No,headphones,8,Other (please specify below):,,SONA for course credit,Chinese,No,Female,,3,1,"Yes, I do alright",piano gitar,Strongly Agree,Disagree,,2024-12-08 22:57:05,48034
39,BPB0057,19,No,"yes, over-the-ear headphones (apple airpods pro max)",8,English,Note changes were obvious in the melodies ,SONA for course credit,,Yes,Male,,5,1,"Yes, but not so well","violin, guitar",Agree,Disagree,notice note changes in the melodies ,2024-12-08 22:20:49,48047
40,BPB0058,20,No,In-ear Airpod pros,8-10,English,"Notes that are more sudden stand out to me greater, and thus were often used to discriminate at a higher rate",SONA for course credit,,Yes,Male,,1,1,No,,Strongly Agree,Strongly Agree,I tried to focus on rhythm and pitch as focusing on individual notes was too overwhelming,2024-12-08 22:41:27,47872
41,BPB0059,20,No,"I used my Studio Beats (newest ones, over the ear large headphones) to listen to the melodies. ",12-17 years old,English,"Sometimes it was very clear when a wrong note was played, but harder to tell if a few notes changed slightly in tone.",SONA for course credit,,Yes,Female,,8,4-5,"Yes, I do alright",Cello,Strongly Agree,Agree,"Follow the tune as if you had to replicate it, like when you learn music by ear.",2024-12-09 00:07:51,48234
