,index,rt,stimulus,key_press,name,trial_type,trial_index,time_elapsed,internal_node_id,set,transposition,mode,mode_no,probe_pitches,question_num,response,response_numeric,subject,sona_x,block,time,malformed,Unnamed: 0,subject_age,How did you listen to the task?,"If you have had musical training, how old were you during this period (i.e., age-range)?",What is your first language?,How did you arrive at this experiment?,What is your first language (if other)?,subject_gender,How many years of formal music theory training do you have?,Do you have perfect (absolute) pitch?,What informed your judgement (if anything) of how familiar were the melodies?,What general strategy (if any) did you use to judge whether melodies had some notes that were more important than others?,Would you consider yourself a musical person? (0-10),How many years of formal musical training do you have?,Do you play any instruments (with or without formal training)?,Which instruments do you play (if any)?,I understood the instructions of the task,I found the task difficult,What general strategy (if any) did you use to judge the similarity across the melodies?,RecordedDate,sona_y,understood task
29,29,328,The audio clip was melodic.,51,likert,html-keyboard-response,92,221601,0.0-92.0,0 1 2 5 6,0,"[0, 1, 7, 8, 9]",3,9 12 7 9 12 8 1 7 12 9 8 9,91,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
30,30,2017,Some notes felt more important than others.,52,likert,html-keyboard-response,97,230406,0.0-97.0,0 2 3 7 8,2,"[0, 1, 5, 7, 8]",3,14 10 7 10 14 10 9 14 9 3 9 3,101,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
31,31,1968,The melody as a whole or parts of it felt familiar.,52,likert,html-keyboard-response,99,233376,0.0-99.0,0 2 3 7 8,2,"[0, 1, 5, 7, 8]",3,14 10 7 10 14 10 9 14 9 3 9 3,101,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
32,32,333,The audio clip was melodic.,51,likert,html-keyboard-response,101,234712,0.0-101.0,0 2 3 7 8,2,"[0, 1, 5, 7, 8]",3,14 10 7 10 14 10 9 14 9 3 9 3,101,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
33,33,3262,Some notes felt more important than others.,51,likert,html-keyboard-response,106,244237,0.0-106.0,0 2 5 6 7,-1,"[0, 5, 7, 10, 11]",4,6 9 11 10 9 10 11 4 10 11 4 6,111,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
34,34,1751,The melody as a whole or parts of it felt familiar.,50,likert,html-keyboard-response,108,246993,0.0-108.0,0 2 5 6 7,-1,"[0, 5, 7, 10, 11]",4,6 9 11 10 9 10 11 4 10 11 4 6,111,somewhat disagree,2,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
35,35,352,The audio clip was melodic.,50,likert,html-keyboard-response,110,248350,0.0-110.0,0 2 5 6 7,-1,"[0, 5, 7, 10, 11]",4,6 9 11 10 9 10 11 4 10 11 4 6,111,somewhat disagree,2,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
36,36,3341,Some notes felt more important than others.,53,likert,html-keyboard-response,115,257958,0.0-115.0,0 1 2 4 6,1,"[0, 2, 8, 9, 10]",3,13 9 11 3 1 9 13 10 13 11 13 3,121,agree,5,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
37,37,1609,The melody as a whole or parts of it felt familiar.,49,likert,html-keyboard-response,117,260569,0.0-117.0,0 1 2 4 6,1,"[0, 2, 8, 9, 10]",3,13 9 11 3 1 9 13 10 13 11 13 3,121,disagree,1,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
38,38,1214,The audio clip was melodic.,52,likert,html-keyboard-response,119,262789,0.0-119.0,0 1 2 4 6,1,"[0, 2, 8, 9, 10]",3,13 9 11 3 1 9 13 10 13 11 13 3,121,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
39,39,969,Some notes felt more important than others.,51,likert,html-keyboard-response,124,270063,0.0-124.0,0 1 4 5 7,0,"[0, 3, 4, 6, 11]",1,12 6 4 12 3 12 6 3 0 4 11 4,131,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
40,40,2792,The melody as a whole or parts of it felt familiar.,52,likert,html-keyboard-response,126,273860,0.0-126.0,0 1 4 5 7,0,"[0, 3, 4, 6, 11]",1,12 6 4 12 3 12 6 3 0 4 11 4,131,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
41,41,960,The audio clip was melodic.,50,likert,html-keyboard-response,128,275825,0.0-128.0,0 1 4 5 7,0,"[0, 3, 4, 6, 11]",1,12 6 4 12 3 12 6 3 0 4 11 4,131,somewhat disagree,2,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
42,42,7659,Some notes felt more important than others.,51,likert,html-keyboard-response,133,289815,0.0-133.0,0 1 2 3 5,1,"[0, 7, 8, 9, 10]",4,11 8 9 11 8 11 13 10 9 11 1 13,141,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
43,43,8890,The melody as a whole or parts of it felt familiar.,50,likert,html-keyboard-response,135,299707,0.0-135.0,0 1 2 3 5,1,"[0, 7, 8, 9, 10]",4,11 8 9 11 8 11 13 10 9 11 1 13,141,somewhat disagree,2,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
44,44,1608,The audio clip was melodic.,52,likert,html-keyboard-response,137,302317,0.0-137.0,0 1 2 3 5,1,"[0, 7, 8, 9, 10]",4,11 8 9 11 8 11 13 10 9 11 1 13,141,somewhat agree,4,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
45,45,9990,Some notes felt more important than others.,53,likert,html-keyboard-response,142,318719,0.0-142.0,0 3 4 7 8,0,"[0, 1, 5, 8, 9]",3,0 1 0 5 12 9 5 1 8 9 5 9,151,agree,5,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
46,46,1810,The melody as a whole or parts of it felt familiar.,51,likert,html-keyboard-response,144,321532,0.0-144.0,0 3 4 7 8,0,"[0, 1, 5, 8, 9]",3,0 1 0 5 12 9 5 1 8 9 5 9,151,neutral,3,SSSQ0003,38374,1,2020-11-22 07:57:52.492000+00:00,,2,19,in-ear earphones,9-12,Other (please specify below):,SONA for course credit,Chinese,Female,2-3,Not sure,"none, intuition",if certain notes repeat for many times,5.0,2-3,"Yes, but not so well",piano,Strongly Agree,Agree,if the musical notes fit well together,2020-11-22 05:28:32,38374,True
