,set,Q1 Median,Q2 Median,Q3 Median,Q1 Mean,Q2 Mean,Q3 Mean,Q1 RT,Q2 RT,Q3 RT,Q1 subjects,Q2 subjects,Q3 subjects,Q1,Q2,Q3
19,0 1 3 5 8,3.5,3.5,3.0,3.4,3.3,3.0,868.25,310.0,406.25,50,50,50,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
20,0 1 3 6 7,3.5,3.0,3.0,3.2928571428571427,3.05,3.0,1189.5,365.25,499.0,49,49,49,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
21,0 1 3 6 8,3.5,3.0,3.0,3.4444444444444446,3.125,3.0,1047.0,391.0,516.5,60,60,60,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
22,0 1 3 6 9,3.5,3.0,3.0,3.3,3.2,3.1,1020.0,444.5,610.5,48,48,48,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
23,0 1 4 5 6,3.0,3.0,3.0,3.3,3.0,3.1,1226.0,452.0,531.0,59,59,59,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
24,0 1 4 5 7,4.0,3.0,3.0,3.5,3.2,2.9,1005.5,400.0,720.5,46,46,46,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
25,0 1 4 5 8,3.5,3.0,3.0,3.4,3.05,3.0,1237.25,426.75,647.0,53,53,53,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
26,0 1 4 6 7,3.5,3.0,3.0,3.4,3.05,2.8,1098.5,403.0,448.25,46,46,46,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
27,0 1 4 6 8,3.0,3.0,3.0,3.3,3.1,2.9,1044.0,405.0,579.5,57,57,57,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
28,0 1 4 6 9,3.0,3.0,3.0,3.3,3.0,2.9,1006.5,446.5,463.5,55,55,55,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
29,0 1 4 7 8,3.5,3.0,3.0,3.4,2.9,2.9,1363.0,497.0,617.0,55,55,55,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
30,0 1 5 6 7,3.0,3.0,3.0,3.2,2.8,2.8,1250.5,436.0,615.0,57,57,57,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
31,0 1 5 6 8,3.5,3.0,3.0,3.4,3.1,3.1625,1087.0,491.5,644.75,53,53,53,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
32,0 2 3 4 5,3.0,3.0,3.0,3.3,3.111111111111111,3.2,1070.5,375.5,487.0,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
33,0 2 3 4 6,3.5,3.0,3.0,3.4,3.0,3.1,1151.0,439.5,527.0,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
34,0 2 3 4 7,3.0,3.0,3.5,3.2,3.1125,3.2,1216.0,426.5,658.5,54,54,54,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
35,0 2 3 4 8,3.0,3.0,3.0,3.25,2.8,3.0,994.0,407.0,484.5,50,50,50,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
36,0 2 3 5 6,3.5,3.0,3.0,3.3666666666666667,3.05,3.0,1031.25,456.0,540.5,51,51,51,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
37,0 2 3 5 7,3.5,3.5,3.0,3.3333333333333335,3.5,3.2,966.0,337.0,576.0,58,58,58,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
38,0 2 3 5 8,3.5,3.0,3.0,3.4,3.1,3.0,836.5,402.5,464.5,48,48,48,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
39,0 2 3 6 7,3.75,3.0,3.0,3.5,3.1,2.95,1335.75,440.75,510.25,53,53,53,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
40,0 2 3 6 8,3.0,3.0,3.0,3.3875,3.2,3.1500000000000004,1161.75,415.5,569.25,48,48,48,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
41,0 2 3 6 9,3.75,3.0,3.0,3.4642857142857144,3.0,3.1,939.5,548.5,618.75,49,49,49,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
42,0 2 3 7 8,3.5,3.0,3.0,3.354166666666667,3.0,3.1055555555555556,1029.5,424.0,576.75,55,55,55,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
43,0 2 4 5 6,3.0,3.0,3.0,3.25,2.8,2.8,919.5,414.0,532.0,54,54,54,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
44,0 2 4 5 7,3.0,3.5,3.0,3.2,3.5,3.25,947.5,402.0,532.0,55,55,55,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
45,0 2 4 5 8,3.0,3.0,3.0,3.1,3.0,2.9,1298.0,437.5,740.0,54,54,54,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
46,0 2 4 6 7,3.0,3.0,3.0,3.3,3.2,3.0,857.0,352.0,433.0,48,48,48,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
47,0 2 4 6 8,3.5,3.0,3.0,3.2,3.0,2.875,1111.0,474.0,477.5,48,48,48,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
48,0 2 4 6 9,3.5,3.0,3.5,3.3,3.3,3.3,1031.5,501.0,633.5,48,48,48,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
49,0 2 4 7 8,3.5,3.0,2.5,3.4,3.0,2.875,949.5,399.5,531.5,51,51,51,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
50,0 2 4 7 9,3.5,3.5,3.0,3.3333333333333335,3.5,3.1,1302.0,445.5,634.5,59,59,59,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
51,0 2 5 6 7,3.5,3.25,3.0,3.3499999999999996,3.1,3.0,1021.5,433.0,551.5,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
52,0 2 5 6 8,3.5,3.0,3.0,3.4,2.9,2.8,1030.25,440.0,613.5,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
53,0 2 5 6 9,3.0,3.0,3.0,3.3,3.05,2.8,1062.25,441.25,643.5,50,50,50,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
54,0 2 5 7 8,3.0,3.0,3.0,3.25,3.1500000000000004,2.9,1120.0,453.25,563.75,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
55,0 3 4 5 6,3.5,3.0,3.0,3.3,3.1,2.9,758.5,442.0,538.0,54,54,54,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
56,0 3 4 5 7,3.0,3.0,3.0,3.3,3.1,3.0,1208.5,558.0,757.0,56,56,56,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
57,0 3 4 5 8,4.0,3.0,3.0,3.5,3.1,3.25,923.5,386.0,494.0,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
58,0 3 4 6 7,3.5,3.0,3.0,3.4,3.1,3.1,863.0,381.0,534.0,53,53,53,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
59,0 3 4 6 8,3.5,3.0,3.0,3.3,3.2,3.1666666666666665,981.5,428.0,693.5,51,51,51,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
60,0 3 4 7 8,3.5,3.0,3.0,3.4,3.111111111111111,3.1,979.5,379.0,512.5,49,49,49,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
61,0 3 5 6 7,3.5,3.0,3.0,3.3,2.9,2.9,1233.5,447.0,560.0,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
62,0 3 5 6 8,3.5,3.0,3.0,3.4,2.9,2.9,770.5,353.0,529.0,49,49,49,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
63,0 3 5 7 8,3.25,3.5,3.0,3.3,3.3499999999999996,3.05,889.25,452.75,632.75,52,52,52,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
64,0 3 6 7 8,3.5,3.5,3.0,3.3,3.3,3.1,970.0,405.5,499.0,50,50,50,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
65,0 4 5 6 7,3.0,3.0,3.0,3.2,3.0,3.0,1018.25,438.75,582.0,58,58,58,Some notes felt more important than others.,The audio clip was melodic.,The melody as a whole or parts of it felt familiar.
